,From,To,Weight
4,VABI,EIAP,13.173258982411536
7,VABI,GDPCG,4.7882251589900555
34,GGFC,EIAP,4.196609111332621
46,FEM,EIAP,3.8269695773425694
64,DWCP,GGAG,1.999657008292473
66,PR,QOA,1.9532171643368883
9,VABI,EBSG,1.9388158094254533
12,VABI,LBGD,1.6153773640998468
5,VABI,PGP,1.5993928765181775
37,GDPC,EBSG,1.5898023416384286
23,GCFP,GGFC,1.561287471738191
60,DWCP,QOA,1.5217962923853083
0,PDPS,EBSG,1.5086331683386878
14,VABI,LFG,1.465075226899919
40,EMP,EIAP,1.4228634684507757
32,GCFP,GGAG,1.4172092623049586
29,GCFP,LTU,1.3630856579933017
70,PR,EMP,1.3333037119677036
57,LFG,GDPC,1.308683224684915
18,GCFP,QOA,1.301611385377411
35,GGFC,PGP,1.2473077387372682
41,EMP,GDPCG,1.2343763872157227
31,GCFP,EPFRG,1.171980677457978
20,GCFP,PDPS,1.1327891901472844
54,LFG,GGFC,1.1118455540576635
47,FEM,GCFP,1.1078819368555368
36,GDPCG,LBGD,1.1049035003746184
71,PR,GGAG,1.1015045592571078
22,GCFP,VABI,1.0838392083826773
59,DWCP,FDI,1.059106116245589
8,VABI,EII,1.0368423980906036
33,GCFP,EUPC,1.0364165643208203
42,EMP,FEM,0.999352166997503
62,DWCP,PDPS,0.980307142693184
27,GCFP,GDPC,0.9134188945023113
17,GCFP,FDI,0.9106591380737682
38,EIS,FDI,0.8595873711876975
43,LTU,EUPC,0.8300309810056037
63,DWCP,GGFC,0.8207268082033857
49,FEM,EII,0.8034622445637605
68,PR,PGP,-0.8027181367936763
58,LFG,LBGD,-0.8058531466748556
13,VABI,LTU,-0.9289445746184425
3,VABI,QOA,-0.9341018994827047
65,PR,QOR,-0.9602367323122599
50,FEM,EPFRG,-0.9749060832012346
52,LFG,FDI,-1.0244499230287216
44,FEM,FDI,-1.034393875897002
10,VABI,GDPC,-1.053320209997781
30,GCFP,LFG,-1.0645598585493314
1,PGP,EIAP,-1.0741263270868853
16,VABI,EUPC,-1.0965064034993743
2,PGP,GGAG,-1.135353662890867
11,VABI,EIS,-1.1359339389654468
25,GCFP,EII,-1.136466164799367
48,FEM,GGFC,-1.196740071324292
45,FEM,QOA,-1.2005427827950677
21,GCFP,PGP,-1.2740269698836382
69,PR,GDPCG,-1.4227914785114848
56,LFG,EBSG,-1.4409648245891489
28,GCFP,LBGD,-1.5004372067361798
15,VABI,GGAG,-1.5118344489383972
39,EIS,QOA,-1.5589248806994043
51,FEM,GGAG,-1.9533224527434978
24,GCFP,GDPCG,-2.280722319546402
26,GCFP,EBSG,-2.3426013829102925
6,VABI,GGFC,-2.4030866353542883
55,LFG,GDPCG,-2.9975043390115497
61,DWCP,EIAP,-3.4117021341031903
67,PR,EIAP,-3.8089422303535967
53,LFG,EIAP,-6.778609261510677
19,GCFP,EIAP,-7.850679317281532
