,From,To,Weight
9,QOA,GDPCG,6.323557254036327
4,QOA,FDI,5.333456527791801
11,QOA,EBSG,4.5728463140990145
3,FDI,LBGD,3.3777327258381984
17,QOA,EPFRG,3.1233689683127404
36,FEM,DI,3.1136588389307236
35,FEM,LBGD,2.7626430928551464
32,FEM,FDI,2.532631399724073
23,PGP,EC,1.6537991582092504
24,VABI,LBGD,1.6448456082413754
47,LFG,FEM,1.6121955740615757
20,QOA,SSB,1.5679499476135983
5,QOA,EIAP,1.4891972372212419
39,LFG,PGP,1.4262987943444307
30,EIS,LTU,1.3559403640868042
37,FEM,SSB,1.3052049837950421
64,COC,EPFRG,1.2712375655327406
34,FEM,EBSG,1.237820753751434
1,FDI,GGFC,1.2086043961052617
0,FDI,GCFP,1.1798417839915334
18,QOA,EC,1.144094744810963
14,QOA,EMP,1.1415863492857485
59,SSB,EBSG,1.1342502117356208
41,LFG,GGFC,1.1335167875055883
28,EBSG,DI,1.058425306090879
51,LFG,COC,1.0516189747275648
46,LFG,EMP,1.0482907787187614
63,COC,GDPCG,1.028533485710933
44,LFG,GDPC,1.0231592306811932
16,QOA,LFG,0.9999907824412286
55,SSB,PGP,0.9611007942686662
33,FEM,EII,0.9504376016328294
40,LFG,VABI,0.916567594352357
65,CPI,COC,0.8708149360194046
22,EIAP,EII,0.8495680546895948
31,LTU,GGAG,0.8267715319114536
27,GDPCG,EBSG,0.8071756400827262
54,DI,VABI,0.8066709652399373
56,SSB,VABI,-0.8312163726767188
26,GCFP,LTU,-0.8586147459935242
57,SSB,GCFP,-0.8737919132435275
61,SSB,LTU,-0.8796011284103026
58,SSB,EII,-0.99777432033081
48,LFG,EPFRG,-1.0316545154205392
10,QOA,EII,-1.0383400868079558
29,EIS,EBSG,-1.0719396494290716
21,QOA,COC,-1.083455020626189
53,EPFRG,EMP,-1.0973641612185279
52,EPFRG,GDPCG,-1.2536962996979897
15,QOA,FEM,-1.4203570010621933
50,LFG,SSB,-1.5759451215191949
2,FDI,EBSG,-1.6370273501338004
7,QOA,GCFP,-1.692353063427861
6,QOA,PGP,-1.7887802680896123
13,QOA,LBGD,-1.8317263293486254
62,SSB,DI,-1.8481722800082
49,LFG,EC,-1.8639272828193874
12,QOA,GDPC,-1.891119429800408
42,LFG,GDPCG,-1.9203788335047953
60,SSB,LBGD,-2.2347705089290044
45,LFG,LBGD,-2.316804840865904
8,QOA,GGFC,-2.4380432917151005
43,LFG,EBSG,-2.6500196348039826
19,QOA,DI,-3.2215177500121017
25,GCFP,LBGD,-3.6843623338345783
38,LFG,FDI,-4.339838690746401
