,From,To,Weight
39,LBGD,EMP,2.5298385514955615
57,DI,LFG,2.3115109917249987
58,DI,EPFRG,2.2746601017397206
54,DI,GDPC,2.151197339076205
13,VABI,EMP,2.097152666997115
52,DI,VABI,1.9998396537988337
47,FEM,RQ,1.8371679588861156
45,LTU,EUPC,1.8347998656447888
62,GE,RQ,1.72554213548456
46,FEM,FDI,1.573129720105365
11,VABI,GDPCG,1.5602638986356905
64,CPI,EPFRG,1.5384735280559683
25,EII,EMP,1.5010678831479807
44,EMP,EUPC,1.4544388831741004
21,GDPCG,LTU,1.3948431791331168
51,DI,PGP,1.37986020235943
35,GDPC,LFG,1.3615200064946167
19,GCFP,LBGD,1.309896621189347
26,EII,LFG,1.2197617420053997
34,EBSG,GE,1.2197174945729619
16,VABI,CPI,1.2145414747054297
49,EPFRG,EIS,1.1933716330646613
56,DI,LTU,1.1704704685859586
38,LBGD,GDPCG,1.143814851865404
8,VABI,FDI,1.1051651970761776
29,EBSG,FDI,1.1021794947328372
10,VABI,GCFP,1.0589444680356859
61,DI,RQ,1.0572997624270357
59,DI,GE,1.026952507763109
9,VABI,EIAP,0.9975438844166487
1,QOA,FEM,0.9932274862511621
4,EIAP,EIS,0.9623784991643878
43,EMP,EIS,0.9602945669346384
41,EMP,QOR,0.9557109838552561
63,CPI,GDPC,0.9328447228212416
27,EII,EPFRG,0.9286397108737132
37,LBGD,QOA,0.8821444093017718
32,EBSG,LBGD,0.8700200164046321
31,EBSG,PGP,0.8455727581930955
28,EII,VAA,0.8282648512637425
36,LBGD,FDI,0.816002509164043
66,VAA,QOR,0.8148415796443953
3,EIAP,QOA,0.8114226466039738
17,VABI,VAA,0.8112329549876434
65,RQ,GGFC,0.8106072996951267
60,DI,CPI,-0.9645665125376821
14,VABI,LFG,-0.9653459285585624
48,LFG,GGAG,-0.9697755572447793
53,DI,GDPCG,-1.012087778712369
30,EBSG,QOA,-1.022512070077237
23,EII,PGP,-1.0353600372723308
5,EIAP,RQ,-1.2213074730952718
2,EIAP,FDI,-1.251858030677888
7,PGP,RQ,-1.3484198676720196
18,GCFP,QOA,-1.5326454652534303
55,DI,EIS,-1.5398674653095508
50,EPFRG,LFG,-1.5518339372122714
22,EII,FDI,-1.6932283076836452
40,EMP,FDI,-1.7659571190393046
6,EIAP,EUPC,-1.8514043643928209
42,EMP,GDPCG,-1.8750120821227518
24,EII,EIS,-1.8841935767514342
15,VABI,EPFRG,-2.097787815492372
0,FDI,EUPC,-2.2533755236322937
33,EBSG,EMP,-2.3297604630304103
12,VABI,GDPC,-2.483938194303598
20,GCFP,EMP,-2.839175761605996
