,From,To,Weight
72,CPI,GGFC,4.081787922744504
37,LTU,GGFC,3.0144745231142176
51,PR,COC,2.9994741291627536
76,CPI,LFG,2.996682994661981
25,EIS,EII,2.6654435953505855
24,EIS,GDPCG,2.643736106463813
21,EIS,QOR,2.5734406375459433
56,COC,QOA,2.3699690478434663
23,EIS,PDPS,2.3363133603248967
64,COC,RQ,2.278796343707344
44,LTU,EUPC,1.9997748500951826
11,EBSG,FEM,1.9345693272122522
14,EBSG,RQ,1.8723806374579173
83,EUPC,LFG,1.7643663737041828
63,COC,EPFRG,1.7621856074131734
32,LBGD,EIAP,1.7229027126905059
1,PGP,VABI,1.7159250097720948
6,EII,EPFRG,1.6568503156983834
15,EBSG,ROL,1.6555491301690586
33,LTU,FDI,1.5760375808493021
2,VABI,GDPCG,1.5531439811961636
3,GCFP,GGAG,1.525498291744129
7,EBSG,QOA,1.5159235228672847
48,PR,EIS,1.4999874602297518
41,LTU,LFG,1.4715601579822444
70,CPI,PGP,1.4469561064828225
35,LTU,QOA,1.4318310207712825
61,COC,FEM,1.3431297339745185
10,EBSG,LBGD,1.157271902033853
16,GDPC,GGFC,1.1399284116800241
26,EIS,LTU,1.092999668851063
67,CPI,QOR,1.0885629442739355
0,PDPS,QOA,1.0668980984431526
53,RQ,PDPS,1.0437726970061796
47,PR,GDPC,1.0309754404596707
30,EIS,CPI,1.01478188398041
28,EIS,GGAG,0.931694170046292
79,EUPC,PGP,0.9267969571437822
60,COC,GDPC,0.8958488635618881
19,GDPC,ROL,0.8674627789356203
50,PR,RQ,0.8540001597726549
81,EUPC,EII,0.8226400298859315
69,CPI,EIAP,0.8099565173158035
65,COC,EUPC,0.808013309182658
46,PR,GDPCG,0.8005318820345372
54,RQ,ROL,-0.8043540337853765
84,EUPC,ROL,-0.8752646189726632
4,GGFC,GDPCG,-0.8793265224250645
5,GGFC,EPFRG,-0.9028338357726138
42,LTU,RQ,-0.9052863109530986
80,EUPC,GCFP,-0.9236750891608977
73,CPI,GDPC,-0.9604421328727191
74,CPI,LBGD,-0.9791883336730889
29,EIS,COC,-0.9996749109553089
78,CPI,ROL,-1.002975947120925
49,PR,LFG,-1.0155872123299703
17,GDPC,GDPCG,-1.1127672896167975
34,LTU,QOR,-1.1563523593704623
66,ROL,QOR,-1.165870911910308
20,EIS,FDI,-1.260543502794707
59,COC,EII,-1.3487306352403676
8,EBSG,PGP,-1.3637346677227193
45,PR,GGFC,-1.3776845896323178
27,EIS,LFG,-1.3813664290695338
36,LTU,PDPS,-1.4136015770419206
57,COC,PDPS,-1.4866427266850466
55,COC,QOR,-1.499569216690953
9,EBSG,GGFC,-1.5412513895857884
40,LTU,GDPC,-1.5462306754334791
43,LTU,CPI,-1.5990301295248794
82,EUPC,FEM,-1.6067479564693818
68,CPI,QOA,-1.651321477663395
62,COC,LFG,-1.6916494154018453
52,RQ,EIAP,-1.7556039651159534
13,EBSG,EPFRG,-1.7884323932222739
31,EIS,EUPC,-1.8582987194687908
18,GDPC,GGAG,-1.875654162228005
75,CPI,FEM,-1.920667802860567
77,CPI,RQ,-2.3404510582388554
38,LTU,GDPCG,-2.5612515275879684
71,CPI,VABI,-2.5975059681501196
39,LTU,EII,-2.785291935703607
22,EIS,QOA,-2.957346136496857
12,EBSG,LFG,-3.036984229546391
58,COC,GGFC,-3.902947083213278
