,From,To,Weight
43,RQ,ROL,3.7980953541486335
13,PGP,ROL,3.3485394006712093
31,FEM,FDI,2.6328223468595016
38,RQ,QOR,2.4857229176007354
50,CPI,QOA,2.235036486832758
47,COC,EBSG,2.0597091776946916
26,EMP,EBSG,2.0123931628723857
57,CPI,GGAG,1.7597141050616467
62,EUPC,LTU,1.7057850163975643
51,CPI,EIAP,1.6119356921425976
29,LTU,GGFC,1.611235319158012
35,LFG,FDI,1.6002044214522433
46,COC,GDPCG,1.5664496227446074
12,PGP,EIS,1.5379544882043776
23,EMP,QOR,1.3818964092074149
44,COC,FDI,1.3660107885424606
4,PDPS,VABI,1.342579854862319
37,RQ,FDI,1.2815781026923603
54,CPI,EII,1.1996723560068023
53,CPI,GGFC,1.1587780087483792
52,CPI,PGP,1.1262880644978468
19,GDPC,QOA,1.069756863978638
28,LTU,QOA,1.014053061905823
25,EMP,GDPCG,1.005983454312977
8,PGP,PDPS,0.9965397447569012
36,EPFRG,EUPC,0.9818949554001539
34,FEM,LTU,0.9116128275068383
2,QOA,ROL,0.8976820894672843
14,VABI,EII,0.882346254974611
6,PGP,QOR,0.8794132513175951
17,EII,EBSG,0.8440540586933326
21,EIS,GGAG,0.840962758469171
3,EIAP,QOR,0.8374388700364708
58,CPI,RQ,0.8249050344745686
18,EBSG,EIAP,0.8249042047984202
32,FEM,GDPCG,-0.8056731989089898
0,FDI,QOR,-0.8057220090307733
24,EMP,QOA,-0.8388628359597541
55,CPI,EIS,-0.8450021926650727
33,FEM,EBSG,-0.8825752097049585
60,EUPC,QOA,-0.8860225757027098
1,FDI,EBSG,-0.8920562194014903
7,PGP,EIAP,-0.8982244439174683
27,EMP,ROL,-0.9042426138350916
15,GDPCG,QOA,-1.0382687747384118
16,GDPCG,EBSG,-1.105956131547537
20,GDPC,ROL,-1.1248424513135573
41,RQ,PDPS,-1.1500778243975864
45,COC,PDPS,-1.2020944368478756
48,CPI,FDI,-1.3947764444377109
5,PGP,FDI,-1.4187674829014993
10,PGP,GDPCG,-1.5379786774888202
30,LTU,ROL,-1.5995195789460344
56,CPI,LTU,-1.6019308548487052
40,RQ,EIAP,-1.6144080970657568
39,RQ,QOA,-1.633750231584588
42,RQ,GGAG,-1.7834815058760853
9,PGP,GGFC,-1.9783444901375913
11,PGP,EBSG,-2.0479874408624825
61,EUPC,GGFC,-2.242724159858251
22,EMP,FDI,-2.9496780164736967
49,CPI,QOR,-3.061703791688577
59,CPI,ROL,-4.9508333096296635
