,From,To,Weight
46,EMP,EPFRG,3.5193410150844837
29,EII,GGFC,2.333147254868886
61,GE,GDPCG,2.0607383108139037
18,VABI,GCFP,1.8847550456534587
49,FEM,PGP,1.7535172368719454
26,EII,PDPS,1.7426337274112647
47,LTU,PDPS,1.7415949202207601
36,EII,CPI,1.7252204416819952
70,EUPC,GCFP,1.6698198602810483
10,QOA,EPFRG,1.6272340205430373
48,LTU,GGFC,1.6207169782891993
13,EIAP,GCFP,1.4758079747745207
27,EII,PGP,1.4724296868764568
12,EIAP,PGP,1.405985973764961
15,EIAP,VAA,1.3597119573789693
39,EBSG,GGFC,1.2077842749058691
35,EII,DI,1.197463215564522
3,FDI,LFG,1.1284211774247372
38,EBSG,PDPS,1.0997538729755034
22,VABI,GGAG,1.0987256236888634
55,DI,EIS,1.0438071715029404
69,CPI,LFG,1.026199959270216
65,GE,EPFRG,1.021754399994815
6,QOR,QOA,0.999967275534252
20,VABI,EMP,0.9739635820901507
52,EPFRG,VAA,0.9671099567501331
58,GE,EIAP,0.9629797208817098
2,FDI,EMP,0.9593592914160558
41,EBSG,EII,0.95187294212124
37,EII,VAA,0.95019806075864
23,VABI,CPI,0.9419087821068033
25,GDPCG,EIS,0.9264245790023212
14,EIAP,LBGD,0.9160022355510766
9,QOA,EIS,0.9139846436274226
28,EII,GCFP,0.9055234520423233
51,LFG,GDPCG,0.8820290665337407
24,GGFC,EUPC,0.8704292351753266
44,LBGD,PGP,0.829341604204267
56,DI,LFG,0.8251544589105623
5,FDI,EUPC,0.8245935839565466
64,GE,LFG,0.8192197166886042
43,EIS,GDPC,0.8042387554108684
53,GGAG,VAA,-0.8469283254819262
34,EII,EPFRG,-0.8620884048485725
62,GE,EIS,-0.864423001718743
8,QOA,GCFP,-0.9191169997407411
7,QOA,PGP,-0.9454995107440617
31,EII,EIS,-0.9494119125295959
40,EBSG,GDPCG,-0.9918491054715389
11,EIAP,PDPS,-0.9965481889703334
66,GE,DI,-1.0146304454699657
57,DI,CPI,-1.0246831086794954
67,GE,CPI,-1.1346104974011897
42,EBSG,LFG,-1.142793623027214
0,FDI,PGP,-1.2315174656737
32,EII,LTU,-1.2834599027069997
33,EII,LFG,-1.3070453654944716
4,FDI,VAA,-1.3295732397605322
68,GE,VAA,-1.3390924589955218
1,FDI,GGFC,-1.3684890608773699
63,GE,LBGD,-1.5020981262222688
59,GE,PGP,-1.5602480169481587
50,FEM,EPFRG,-1.778088296580177
21,VABI,EPFRG,-1.807957664425309
16,EIAP,EUPC,-1.812947477082757
17,VABI,PDPS,-2.174543530050194
60,GE,GCFP,-2.233471792160964
54,DI,GCFP,-2.351624777182885
19,VABI,GGFC,-2.5778214559099153
45,EMP,PGP,-2.6255354138203284
30,EII,GDPCG,-2.633258309187136
