,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,1.81,1.9,2.32,1.71,1.54,,0.992,0.989,39.2,,90,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,95.0,0.992,0.989,43.0,,90,,,,,,,,,,,,,,,,,,,,,,
2,2002,1.88,2.02,2.31,1.71,1.53,95.0,0.992,0.989,64.3,,90,,,,,,,,,,,,,,,,,,,,,,
3,2003,1.92,2.09,2.36,1.73,1.6,95.0,0.992,0.989,76.3,,90,,,,,,,,,,,,,,,,,,,,,,
4,2004,1.93,2.29,2.41,1.75,1.8,95.0,0.992,0.989,80.9,,90,,,,,,,,,,,,,,,,,,,,,,
5,2005,1.94,2.11,2.28,1.65,1.74,95.0,0.992,0.989,82.7,,90,,,,,,,,,,,,,,,,,,,,,,
6,2006,1.98,2.22,2.46,1.8,1.57,95.0,0.992,0.989,86.7,,90,9.52,,,,,,,,,,,,,,5.0,6.5,89.675326933123,91.587142046423,63.333333333333,88.663705255502,69.613928894134,
7,2007,2.0,2.35,2.43,1.93,1.48,94.0,0.992,0.989,85.0,,90,,,,,,,,,,,,,,,,,,,,,,
8,2008,1.95,2.24,2.38,1.87,1.54,93.0,0.992,0.989,85.0,,90,9.52,6.03,5.82,,6.21,5.81,6.51,6.2,6.47,4.32,5.63,6.22,6.05,,5.0,6.5,90.069127603328,91.588822262616,63.333333333333,89.265889625488,69.613928894134,
9,2009,1.92,2.23,2.44,1.88,1.54,93.0,0.992,0.989,86.8,,95,,,,,,,,,,,,,,,,,,,,,,
10,2010,1.9,2.1,2.35,1.87,1.54,93.0,0.992,0.989,88.7,,90,9.52,5.66,5.63,6.53,5.42,5.32,6.36,6.0,6.5,4.5,5.41,5.72,5.8,82.577078621653,5.0,6.5,90.196050935943,91.589363802169,63.333333333333,90.980440431731,69.613928894134,
11,2011,1.92,2.1,2.39,1.9,1.55,94.0,0.991,0.989,89.8,57.0,90,9.52,5.7,5.7,6.69,5.4,5.03,6.46,5.99,6.73,4.17,5.22,5.94,6.05,83.600511890558,5.0,6.0,91.11212688302,91.588839713969,63.333333333333,91.037841705038,68.794256762987,
12,2012,1.88,1.99,2.38,1.8,1.67,90.0,0.992,0.989,92.3,59.9,90,9.52,5.27,4.67,6.4,4.69,4.95,6.22,5.84,6.4,4.64,5.08,5.95,6.16,84.623197773443,5.0,6.0,91.17098335234,91.589232090431,63.333333333333,91.68040528937,68.794256762987,
13,2013,1.9,1.94,2.4,1.8,1.67,91.0,0.992,0.989,94.6,58.3,90,9.38,5.15,4.34,6.08,4.52,4.86,5.9,5.72,6.15,4.82,5.15,5.84,6.01,84.727210056207,5.0,6.0,91.198876357885,91.589586832748,63.333333333333,91.832347540767,68.794256762987,
14,2014,2.1,1.78,2.25,1.68,1.52,92.0,0.992,0.989,96.0,57.5,90,9.11,5.51,4.49,6.19,4.7,4.81,5.81,5.71,6.23,4.55,5.21,5.96,6.1,84.065592468824,5.0,6.0,91.219460741691,89.537591632781,72.0,91.834964794779,65.92540430397,
15,2015,2.02,1.79,2.19,1.72,1.55,91.0,0.992,0.989,96.3,57.7,95,9.11,5.69,4.77,6.43,4.87,4.89,5.97,5.71,6.2,4.4,5.35,6.06,6.1,84.273573117637,5.0,6.0,91.802316421421,85.71507816265,72.0,91.834964794779,68.365446805488,8.1
16,2016,1.88,1.82,2.2,1.56,1.54,90.0,0.988,0.989,97.0,58.5,95,9.2,5.61,5.0,6.49,5.12,5.14,6.0,5.73,6.13,4.55,5.55,6.07,6.1,84.446564980773,5.0,6.0,91.819264375597,86.30144105802,72.0,91.142196781168,68.365446805488,7.5
17,2017,1.8,1.75,2.19,1.61,1.52,88.0,0.988,0.985,97.1,58.7,87,9.22,5.69,5.0,6.37,5.11,4.99,6.04,5.74,6.08,4.51,5.56,5.97,,84.532354186107,5.0,6.0,91.841025786574,87.044147259113,72.0,91.142196781168,68.365446805488,8.8
18,2018,1.77,1.81,2.16,1.63,1.57,88.0,0.988,0.985,97.3,58.4,85,9.22,,,,,,,,,,,,,84.517790528653,5.0,6.0,91.866930580471,86.786173788463,72.0,91.142196781168,68.365446805488,10.4
19,2019,1.83,1.87,2.12,1.55,1.54,87.0,0.984,0.985,98.0,58.4,86,9.22,,,,,,,,,,,,,85.107470419127,5.0,6.0,91.889598966792,86.904663742633,72.0,91.142196781168,73.921002361044,9.9
20,2020,1.81,1.84,2.24,1.79,1.51,88.0,0.988,0.987,96.5,57.5,86,9.15,,,,,,,,,,,,,85.225742257046,5.0,6.0,92.07638556444,87.879698472404,72.0,91.142196781168,73.921002361044,9.3
21,2021,1.9,1.96,2.33,1.8,1.54,88.0,0.988,0.985,98.9,57.3,87,9.09,,,,,,,,,,,,,,,,,,,,,9.8
22,2022,1.9,1.99,2.4,1.84,1.59,90.0,0.988,0.987,97.9,55.9,99,9.28,,,,,,,,,,,,,,,,,,,,,10.0
23,2023,1.91,2.02,2.38,1.84,1.66,90.0,0.988,0.988,98.8,58.73,98,9.28,,,,,,,,,,,,,,,,,,,,,10.4
24,2024,,,,,,90.0,0.988,0.984,99.8,57.1,99,9.28,,,,,,,,,,,,,,,,,,,,,10.4
25,2025,,,,,,,,,,56.9,99,,,,,,,,,,,,,,,,,,,,,,
