,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,0.59,0.69,0.84,1.27,0.99,,0.956,0.955,28.6,,70,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,56.0,0.956,0.955,31.5,,70,,,,,,,,,,,,,,,,,,,,,,
2,2002,0.79,0.67,0.74,1.26,1.07,56.0,0.956,0.955,41.5,,70,,,,,,,,,,,,,,,,,,,,,,
3,2003,0.77,0.88,0.92,1.17,1.07,55.0,0.956,0.955,45.3,,70,,,,,,,,,,,,,,,,,,,,,,
4,2004,0.88,0.9,0.98,1.23,1.09,60.0,0.956,0.955,53.2,,70,,,,,,,,,,,,,,,,,,,,,,
5,2005,0.9,0.94,0.99,1.25,0.99,64.0,0.956,0.955,61.5,,70,,,,,,,,,,,,,,,,,,,,,,
6,2006,1.13,1.15,1.01,1.29,1.07,67.0,0.956,0.955,63.5,,70,7.74,,,,,,,,,,,,,,6.0,37.0,80.110093549042,85.95395265526,56.666666666667,84.35452296004,71.825787401575,
7,2007,1.12,1.01,0.97,1.32,1.07,65.0,0.956,0.955,66.2,,90,,,,,,,,,,,,,,,,,,,,,,
8,2008,1.16,1.16,0.95,1.39,1.09,66.0,0.955,0.955,70.6,,90,7.68,5.69,4.91,,3.33,4.5,5.84,5.48,4.82,6.2,4.84,4.84,4.66,,5.0,8.5,90.095030731683,86.252844664939,56.666666666667,85.314565149772,71.825787401575,
9,2009,1.12,1.0,1.0,1.39,1.09,66.0,0.966,0.955,72.5,,90,,,,,,,,,,,,,,,,,,,,,,
10,2010,1.15,1.08,0.99,1.39,1.11,65.0,0.974,0.955,74.1,,80,7.68,5.57,5.36,5.49,3.28,4.29,5.81,5.31,5.04,6.02,4.63,4.79,4.3,77.943856355984,5.0,8.5,90.45025586163,85.415456162343,56.666666666667,85.471376699707,68.759373828271,
11,2011,1.18,1.07,1.05,1.39,1.13,64.0,0.974,0.955,76.5,49.2,80,7.61,5.56,5.25,5.54,3.87,4.28,5.89,5.47,5.1,5.99,4.56,4.82,4.36,78.401747338054,5.0,8.5,90.268246313194,85.358224094379,56.666666666667,85.244062617706,68.759373828271,
12,2012,1.15,0.95,1.09,1.41,1.11,64.0,0.974,0.955,78.4,55.3,80,7.61,5.52,5.12,5.49,3.89,4.09,5.84,5.51,4.98,5.99,4.49,4.84,4.36,77.965932244748,5.0,8.5,90.355463557106,85.37481212339,56.666666666667,79.985617590773,68.759373828271,
13,2013,1.19,0.97,1.18,1.44,1.12,68.0,0.976,0.955,80.0,50.6,85,7.61,5.47,5.02,5.58,3.5,4.14,5.76,5.38,4.8,6.05,4.48,4.94,4.48,77.509707748524,5.0,8.5,90.522324749583,85.428312905258,56.666666666667,74.400224991022,68.759373828271,
14,2014,1.37,1.01,1.3,1.67,1.17,69.0,0.972,0.955,84.2,51.5,90,7.74,5.54,4.97,5.77,3.61,4.36,5.83,5.39,4.9,6.16,4.63,4.92,4.55,77.746048857164,5.0,8.5,90.627826872101,85.462140099944,58.0,84.238086719189,68.089682949467,
15,2015,1.3,1.04,1.26,1.66,1.19,70.0,0.972,0.955,88.4,52.8,90,7.85,5.59,4.95,5.94,3.84,4.36,5.77,5.39,4.9,6.18,4.74,4.97,4.55,78.227271134429,4.0,6.5,92.748315885112,82.46538127229,58.0,84.410977080522,76.791459810693,13.7
16,2016,1.19,1.05,1.23,1.69,1.21,70.0,0.978,0.955,87.2,51.7,90,7.85,5.68,5.1,6.08,3.93,4.62,5.75,5.39,4.84,6.25,4.92,5.16,4.55,80.664013581229,3.0,5.5,94.560514476735,82.478725118025,58.0,88.151982810392,77.203908254638,11.4
17,2017,1.25,1.07,1.2,1.63,1.21,71.0,0.973,0.955,88.1,50.9,83,7.79,5.6,4.88,6.05,3.77,4.67,5.73,5.34,4.81,6.18,4.96,5.16,,80.828593984749,3.0,5.5,94.623643398917,82.494332038658,58.0,89.378009317751,77.428880133153,11.8
18,2018,1.2,1.15,1.47,1.54,1.19,73.0,0.973,0.955,89.4,50.5,80,7.97,,,,,,,,,,,,,80.891558572211,3.0,5.5,94.652163909519,82.501382964447,58.0,89.609848575866,77.616356698582,12.0
19,2019,1.24,1.14,1.53,1.58,1.18,74.0,0.962,0.947,90.2,50.0,82,7.9,,,,,,,,,,,,,80.918937951789,3.0,5.5,94.752131691672,82.526097298037,58.0,89.609848575866,77.691347324754,11.2
20,2020,1.34,1.3,1.58,1.53,1.17,75.0,0.968,0.933,89.1,48.3,83,7.84,,,,,,,,,,,,,80.74585797369,3.0,5.5,94.857377938405,82.552116589401,58.0,89.909582525243,77.916319203269,8.5
21,2021,1.39,1.34,1.51,1.55,1.18,74.0,0.975,0.963,91.0,49.9,82,7.84,,,,,,,,,,,,,,,,,,,,,9.8
22,2022,1.43,1.34,1.54,1.56,1.2,74.0,0.966,0.969,91.5,50.2,92,7.96,,,,,,,,,,,,,,,,,,,,,10.8
23,2023,1.43,1.26,1.54,1.43,1.22,76.0,0.966,0.967,93.2,53.38,92,7.96,,,,,,,,,,,,,,,,,,,,,9.7
24,2024,,,,,,76.0,0.966,0.968,,52.3,93,8.13,,,,,,,,,,,,,,,,,,,,,11.0
25,2025,,,,,,,,,,51.1,94,,,,,,,,,,,,,,,,,,,,,,
