,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,PR,DI,SOARS,TOGP,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,DBP,DBD,SSB,DWCP,PMSI,PT,EC
6,2006,1.13,1.15,1.01,1.29,1.07,67.0,0.956,0.955,63.5,70,7.74,,,,,,,,,,,,5.0,8.5,90.39041867042314,85.95395265526,56.666666666667,84.35452296004,71.825787401575
7,2007,1.12,1.01,0.97,1.32,1.07,65.0,0.956,0.955,66.2,90,7.61,5.52,4.89,3.19,4.31,5.42,5.48,4.53,6.2,4.92,5.07,4.54,5.0,8.5,90.39041867042314,86.112980032212,56.666666666667,84.956549776524,71.825787401575
8,2008,1.16,1.16,0.95,1.39,1.09,66.0,0.955,0.955,70.6,90,7.68,5.69,4.91,3.33,4.5,5.84,5.48,4.82,6.2,4.84,4.84,4.66,5.0,8.5,90.095030731683,86.252844664939,56.666666666667,85.314565149772,71.825787401575
9,2009,1.12,1.0,1.0,1.39,1.09,66.0,0.966,0.955,72.5,90,7.61,5.78,5.19,3.23,4.39,5.89,5.47,5.06,6.2,4.71,4.74,4.53,5.0,8.5,90.413782607665,85.403987314869,56.666666666667,85.595289271705,71.825787401575
10,2010,1.15,1.08,0.99,1.39,1.11,65.0,0.974,0.955,74.1,80,7.68,5.57,5.36,3.28,4.29,5.81,5.31,5.04,6.02,4.63,4.79,4.3,5.0,8.5,90.45025586163,85.415456162343,56.666666666667,85.471376699707,68.759373828271
11,2011,1.18,1.07,1.05,1.39,1.13,64.0,0.974,0.955,76.5,80,7.61,5.56,5.25,3.87,4.28,5.89,5.47,5.1,5.99,4.56,4.82,4.36,5.0,8.5,90.268246313194,85.358224094379,56.666666666667,85.244062617706,68.759373828271
12,2012,1.15,0.95,1.09,1.41,1.11,64.0,0.974,0.955,78.4,80,7.61,5.52,5.12,3.89,4.09,5.84,5.51,4.98,5.99,4.49,4.84,4.36,5.0,8.5,90.355463557106,85.37481212339,56.666666666667,84.94817878439562,68.759373828271
13,2013,1.19,0.97,1.18,1.44,1.12,68.0,0.976,0.955,80.0,85,7.61,5.47,5.02,3.5,4.14,5.76,5.38,4.8,6.05,4.48,4.94,4.48,5.0,8.5,90.522324749583,85.428312905258,56.666666666667,84.94817878439562,68.759373828271
14,2014,1.37,1.01,1.3,1.67,1.17,69.0,0.972,0.955,84.2,90,7.74,5.54,4.97,3.61,4.36,5.83,5.39,4.9,6.16,4.63,4.92,4.55,5.0,8.5,90.627826872101,85.462140099944,56.666666666667,84.238086719189,68.089682949467
15,2015,1.3,1.04,1.26,1.66,1.19,70.0,0.972,0.955,88.4,90,7.85,5.59,4.95,3.84,4.36,5.77,5.39,4.9,6.18,4.74,4.97,4.55,5.0,8.5,90.39041867042314,85.64030111695489,56.666666666667,84.410977080522,70.0478142076501
