,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,1.95,2.03,2.37,1.78,1.59,,0.985,0.971,37.2,,90,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,99.0,0.985,0.971,43.1,,90,,,,,,,,,,,,,,,,,,,,,,
2,2002,1.9,2.1,2.37,1.82,1.55,97.0,0.985,0.971,62.4,,90,,,,,,,,,,,,,,,,,,,,,,
3,2003,1.96,2.19,2.37,1.83,1.57,97.0,0.985,0.971,69.2,,90,,,,,,,,,,,,,,,,,,,,,,
4,2004,1.94,2.15,2.41,1.78,1.78,97.0,0.985,0.971,72.4,,90,,,,,,,,,,,,,,,,,,,,,,
5,2005,1.95,2.12,2.31,1.66,1.69,96.0,0.985,0.971,74.5,,90,,,,,,,,,,,,,,,,,,,,,,
6,2006,1.96,2.17,2.45,1.6,1.49,96.0,0.985,0.971,79.7,,90,9.25,,,,,,,,,,,,,,3.0,17.0,91.018584756114,76.186348220891,56.666666666667,67.913594952862,78.366875503267,
7,2007,1.9,1.97,2.39,1.55,1.46,94.0,0.985,0.971,80.8,,90,,,,,,,,,,,,,,,,,,,,,,
8,2008,1.91,2.04,2.32,1.61,1.46,90.0,0.985,0.971,83.7,,90,9.25,6.14,5.74,,5.86,6.24,6.57,6.11,6.55,3.47,5.53,5.32,5.46,,3.0,17.0,92.303566773602,76.532869161122,56.666666666667,68.78340112357,78.383373441025,
9,2009,1.96,2.23,2.24,1.81,1.47,89.0,0.985,0.971,82.5,,95,,,,,,,,,,,,,,,,,,,,,,
10,2010,1.96,2.22,2.15,1.87,1.49,92.0,0.985,0.971,86.9,,90,9.19,6.17,5.64,6.55,5.08,5.63,6.65,6.01,6.62,3.13,5.28,5.33,5.15,80.20295730197,3.0,17.0,92.345579557218,77.065080090322,56.666666666667,76.827451041144,74.541738891245,
11,2011,1.94,2.24,2.19,1.81,1.51,94.0,0.985,0.971,88.7,57.5,90,9.06,6.1,5.79,6.52,4.95,5.85,6.61,5.96,6.56,3.33,5.33,5.24,5.23,80.641955243704,3.0,17.0,92.292540582451,76.916557005299,56.666666666667,80.247713378744,74.541738891245,
12,2012,1.94,2.21,2.23,1.82,1.6,90.0,0.985,0.971,89.9,61.8,90,9.06,6.27,6.13,6.62,5.13,5.84,6.59,6.05,6.49,3.22,5.55,5.22,5.45,81.393608776845,3.0,17.0,92.33382730086,77.022476140138,56.666666666667,88.839006200865,73.454374811755,
13,2013,1.96,2.18,2.2,1.84,1.57,89.0,0.985,0.981,91.5,59.5,90,9.03,6.43,6.07,6.65,5.5,5.93,6.55,6.03,6.44,2.75,5.64,5.15,5.74,81.402915121097,3.0,17.0,92.363759796074,77.112896266688,56.666666666667,88.088290767932,73.454374811755,
14,2014,2.12,2.03,2.16,1.88,1.54,89.0,0.985,0.981,86.5,60.7,90,9.03,6.42,5.82,6.64,5.69,5.86,6.61,5.84,6.42,2.37,5.58,4.95,5.62,80.200594263497,3.0,17.0,92.362865848926,77.11061789339,62.0,88.454135134356,70.448910330881,
15,2015,2.05,1.84,2.22,1.83,1.54,90.0,0.969,0.978,86.4,60.0,90,9.03,6.49,5.91,6.68,5.72,5.71,6.6,5.84,6.3,2.2,5.44,5.14,5.62,79.28779799713,3.0,17.0,92.360985897353,73.423990449768,62.0,88.355974815561,66.397984404955,9.2
16,2016,2.01,1.84,2.19,1.81,1.53,89.0,0.969,0.978,87.7,59.9,90,9.03,6.57,5.95,6.76,5.81,5.75,6.61,5.86,6.17,2.18,5.43,5.18,5.62,79.867020753668,3.0,17.0,92.372939383773,73.446839539059,62.0,90.3095435282,66.397984404955,7.9
17,2017,2.02,1.98,2.16,1.81,1.56,85.0,0.977,0.978,87.5,58.5,91,9.03,6.58,5.77,6.76,5.8,5.81,6.61,5.87,6.24,2.24,5.6,5.22,,79.860022607856,3.0,17.0,92.39359896538,73.340150753081,62.0,90.234946351183,66.397984404955,8.2
18,2018,2.03,2.01,2.17,1.78,1.59,85.0,0.984,0.983,88.9,59.6,89,9.14,,,,,,,,,,,,,79.746608503342,3.0,17.0,92.410229387835,73.359369199761,62.0,90.135734727373,66.397984404955,8.3
19,2019,2.01,1.97,2.11,1.84,1.56,86.0,0.979,0.978,89.6,59.8,90,9.25,,,,,,,,,,,,,79.803901895105,3.0,17.0,92.431873861911,73.407575580637,62.0,90.641568800953,66.397984404955,7.3
20,2020,2.02,1.9,2.17,1.85,1.61,85.0,0.983,0.981,92.2,57.0,92,9.2,,,,,,,,,,,,,80.391273920451,3.0,13.0,93.46642516898,73.552220162019,62.0,90.897459634658,66.397984404955,8.2
21,2021,2.01,1.92,2.24,1.89,1.61,88.0,0.975,0.981,92.8,58.4,92,9.27,,,,,,,,,,,,,,,,,,,,,8.2
22,2022,1.96,1.75,2.25,1.78,1.61,87.0,0.979,0.976,93.0,56.9,100,9.29,,,,,,,,,,,,,,,,,,,,,8.4
23,2023,1.97,1.74,2.22,1.77,1.63,87.0,0.97,0.983,93.5,61.2,100,9.3,,,,,,,,,,,,,,,,,,,,,9.6
24,2024,,,,,,88.0,0.959,0.976,,59.4,100,9.3,,,,,,,,,,,,,,,,,,,,,9.6
25,2025,,,,,,,,,,57.7,100,,,,,,,,,,,,,,,,,,,,,,
