,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,1.61,1.8,1.8,1.46,1.31,,0.986,0.952,30.2,,90,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,74.0,0.986,0.952,31.7,,90,,,,,,,,,,,,,,,,,,,,,,
2,2002,1.63,1.66,1.89,1.51,1.41,73.0,0.986,0.952,48.8,,90,,,,,,,,,,,,,,,,,,,,,,
3,2003,1.64,1.36,1.88,1.5,1.41,77.0,0.986,0.952,55.9,,90,,,,,,,,,,,,,,,,,,,,,,
4,2004,1.62,1.47,1.84,1.47,1.5,82.0,0.986,0.952,64.7,,90,,,,,,,,,,,,,,,,,,,,,,
5,2005,1.65,1.5,1.88,1.52,1.49,82.0,0.986,0.952,68.7,,90,,,,,,,,,,,,,,,,,,,,,,
6,2006,1.77,1.65,1.79,1.57,1.37,80.0,0.986,0.952,72.2,,90,8.82,,,,,,,,,,,,,,9.0,27.0,78.010594624764,79.591946393449,50.0,77.015616949562,76.735164764241,
7,2007,1.76,1.63,1.73,1.62,1.34,78.0,0.986,0.952,75.2,,90,,,,,,,,,,,,,,,,,,,,,,
8,2008,1.73,1.51,1.75,1.49,1.34,79.0,0.986,0.952,78.0,,90,8.82,6.07,5.0,,4.4,4.86,6.24,6.01,5.89,2.94,5.14,4.96,5.36,,9.0,23.0,79.197611230423,82.821877247998,50.0,76.399685697736,76.735164764241,
9,2009,1.65,1.58,1.75,1.52,1.33,80.0,0.986,0.952,79.0,,90,,,,,,,,,,,,,,,,,,,,,,
10,2010,1.64,1.52,1.77,1.57,1.3,79.0,0.986,0.952,82.0,,90,8.38,5.62,5.43,5.94,4.03,4.98,6.3,6.0,6.04,2.92,4.93,5.25,5.01,79.277568035703,9.0,22.5,79.567065212441,82.88844019036,50.0,78.957718252045,76.735164764241,
11,2011,1.62,1.5,1.74,1.55,1.35,80.0,0.986,0.952,81.3,54.9,90,8.34,5.35,4.97,5.87,3.67,4.93,6.18,5.93,5.9,3.07,4.78,5.12,4.81,79.213355862256,9.0,17.5,80.744230566202,82.852483154835,50.0,76.428016865224,76.735164764241,
12,2012,1.67,1.53,1.82,1.53,1.39,79.0,0.983,0.952,82.4,56.2,90,8.34,5.48,4.97,5.87,3.74,4.92,6.27,5.88,5.82,3.16,4.95,5.17,4.88,79.298046402213,9.0,17.5,80.867727542047,82.818228792158,50.0,76.817401574795,76.735164764241,
13,2013,1.64,1.51,1.8,1.54,1.41,78.0,0.983,0.952,84.2,55.8,90,8.31,5.54,4.98,5.67,4.39,5.14,6.29,5.77,5.67,3.34,5.1,5.2,4.9,79.187646906506,9.0,17.5,80.918823564482,82.870361263795,50.0,79.063707711371,76.735164764241,
14,2014,1.85,1.66,1.81,1.7,1.44,79.0,0.983,0.952,86.2,56.0,90,8.64,5.57,4.77,5.56,4.74,5.24,6.19,5.74,5.6,3.41,4.98,5.22,4.89,79.316126630822,9.0,17.5,80.997172071966,82.919183496335,62.0,76.843778109653,76.735164764241,
15,2015,1.76,1.66,1.78,1.71,1.42,81.0,0.976,0.952,87.6,57.1,90,8.64,5.79,5.13,5.52,4.72,5.36,6.22,5.74,5.31,3.63,5.21,5.19,4.89,78.851145442155,9.0,17.5,80.627201805662,78.084024488157,62.0,77.020556256969,71.486986257865,10.1
16,2016,1.58,1.66,1.78,1.81,1.36,81.0,0.976,0.952,84.2,57.9,90,8.63,5.77,5.39,5.45,4.76,5.26,6.14,5.67,5.16,3.87,5.35,5.11,4.89,79.425122659481,9.0,13.5,81.991793779149,78.113460193268,62.0,82.167296847601,70.940538170434,10.3
17,2017,1.57,1.61,1.8,1.78,1.43,81.0,0.971,0.919,84.4,58.4,83,8.61,5.66,5.47,5.48,5.14,5.37,6.07,5.65,5.33,4.29,5.32,5.26,,79.428672782228,9.0,13.0,82.202748316799,78.144349126424,62.0,82.157760355685,70.394090083002,10.1
18,2018,1.59,1.52,1.9,1.76,1.44,80.0,0.973,0.919,87.0,58.0,81,8.68,,,,,,,,,,,,,79.023990373322,9.0,13.0,82.214093176168,78.114655932966,60.0,82.140948763464,70.394090083002,10.3
19,2019,1.58,1.5,1.87,1.71,1.35,80.0,0.973,0.919,88.1,58.2,80,8.68,,,,,,,,,,,,,79.022313489564,9.0,13.0,82.338519767684,78.161159530825,60.0,82.105637459541,70.394090083002,10.3
20,2020,1.52,1.31,1.83,1.58,1.37,80.0,0.965,0.919,89.8,56.5,81,8.67,,,,,,,,,,,,,78.55309631465,9.0,13.0,82.418072768721,78.202031464801,60.0,82.330086821941,74.097793786706,10.1
21,2021,1.57,1.29,1.78,1.63,1.42,80.0,0.965,0.919,91.4,57.3,79,8.67,,,,,,,,,,,,,,,,,,,,,12.3
22,2022,1.53,1.29,1.82,1.52,1.41,79.0,0.952,0.919,91.6,57.2,96,8.8,,,,,,,,,,,,,,,,,,,,,12.5
23,2023,1.55,1.19,1.66,1.46,1.46,78.0,0.952,0.95,92.5,58.76,95,8.8,,,,,,,,,,,,,,,,,,,,,13.0
24,2024,,,,,,75.0,0.937,0.936,93.5,58.1,95,8.73,,,,,,,,,,,,,,,,,,,,,12.9
25,2025,,,,,,,,,,55.5,95,,,,,,,,,,,,,,,,,,,,,,
