,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,PR,DI,SOARS,TOGP,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,DBP,DBD,SSB,DWCP,PMSI,PT,EC
6,2006,1.77,1.65,1.79,1.57,1.37,80.0,0.986,0.952,72.2,90,8.82,5.727777777777778,5.085555555555556,4.2555555555555555,4.996666666666666,6.246666666666666,5.894444444444445,5.812222222222222,3.143333333333333,5.017777777777778,5.137777777777777,5.033333333333333,9.0,27.0,78.010594624764,82.82984988626251,50.0,77.015616949562,76.735164764241
7,2007,1.76,1.63,1.73,1.62,1.34,78.0,0.986,0.952,75.2,90,8.536249999999999,6.34,5.5,4.55,4.88,6.26,5.98,6.15,2.94,5.11,5.1,5.38,9.0,27.0,78.04470015915,82.709673356777,50.0,77.19792896543,76.735164764241
8,2008,1.73,1.51,1.75,1.49,1.34,79.0,0.986,0.952,78.0,90,8.82,6.07,5.0,4.4,4.86,6.24,6.01,5.89,2.94,5.14,4.96,5.36,9.0,23.0,79.197611230423,82.821877247998,50.0,76.399685697736,76.735164764241
9,2009,1.65,1.58,1.75,1.52,1.33,80.0,0.986,0.952,79.0,90,8.536249999999999,5.79,5.02,4.06,4.66,6.27,6.0,5.93,2.88,4.96,5.03,5.18,9.0,22.5,79.363510206708,82.758551587842,50.0,76.198555680942,76.735164764241
10,2010,1.64,1.52,1.77,1.57,1.3,79.0,0.986,0.952,82.0,90,8.38,5.62,5.43,4.03,4.98,6.3,6.0,6.04,2.92,4.93,5.25,5.01,9.0,22.5,79.567065212441,82.88844019036,50.0,76.74019251253887,76.735164764241
11,2011,1.62,1.5,1.74,1.55,1.35,80.0,0.986,0.952,81.3,90,8.34,5.35,4.97,3.67,4.93,6.18,5.93,5.9,3.07,4.78,5.12,4.81,9.0,17.5,80.744230566202,82.852483154835,50.0,76.428016865224,76.735164764241
12,2012,1.67,1.53,1.82,1.53,1.39,79.0,0.983,0.952,82.4,90,8.34,5.48,4.97,3.74,4.92,6.27,5.88,5.82,3.16,4.95,5.17,4.88,9.0,17.5,80.867727542047,82.818228792158,50.0,76.817401574795,76.735164764241
13,2013,1.64,1.51,1.8,1.54,1.41,78.0,0.983,0.952,84.2,90,8.31,5.54,4.98,4.39,5.14,6.29,5.77,5.67,3.34,5.1,5.2,4.9,9.0,17.5,80.918823564482,82.870361263795,50.0,76.74019251253887,76.735164764241
14,2014,1.85,1.66,1.81,1.7,1.44,79.0,0.983,0.952,86.2,90,8.64,5.57,4.77,4.74,5.24,6.19,5.74,5.6,3.41,4.98,5.22,4.89,9.0,17.5,80.997172071966,82.919183496335,50.0,76.843778109653,76.735164764241
15,2015,1.76,1.66,1.78,1.71,1.42,81.0,0.976,0.952,87.6,90,8.64,5.79,5.13,4.72,5.36,6.22,5.74,5.31,3.63,5.21,5.19,4.89,9.0,17.5,80.627201805662,82.82984988626251,50.0,77.020556256969,76.735164764241
