,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,0.15,0.21,-0.04,0.7,0.74,,0.956,0.922,6.32,,50,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,34.0,0.956,0.922,7.22,,50,,,,,,,,,,,,,,,,,,,,,,
2,2002,0.31,0.49,0.01,0.88,0.84,37.0,0.956,0.922,21.9,,50,,,,,,,,,,,,,,,,,,,,,,
3,2003,0.58,0.6,0.24,0.95,0.77,38.0,0.956,0.922,27.0,,50,,,,,,,,,,,,,,,,,,,,,,
4,2004,0.54,0.57,0.15,0.92,0.7,40.0,0.956,0.922,38.6,,50,,,,,,,,,,,,,,,,,,,,,,
5,2005,0.57,0.53,0.37,0.87,0.78,42.0,0.956,0.922,46.0,,50,,,,,,,,,,,,,,,,,,,,,,
6,2006,0.62,0.65,0.36,0.93,0.85,47.0,0.956,0.922,53.6,,50,7.37,,,,,,,,,,,,,,5.0,16.0,87.711355805709,59.720318042304,60.0,68.893017090356,83.443982924266,
7,2007,0.72,0.43,0.34,0.95,0.83,48.0,0.958,0.922,59.2,,50,,,,,,,,,,,,,,,,,,,,,,
8,2008,0.78,0.52,0.23,0.97,0.78,50.0,0.958,0.932,63.4,,55,7.23,5.07,3.66,,2.06,3.67,4.65,4.54,3.99,6.02,4.36,4.3,3.94,,5.0,16.0,88.467773462447,60.73618499967,60.0,83.228625554454,83.443982924266,
9,2009,0.79,0.62,0.2,0.92,0.85,45.0,0.958,0.933,66.8,,55,,,,,,,,,,,,,,,,,,,,,,
10,2010,0.76,0.72,0.2,0.93,0.79,43.0,0.958,0.934,68.4,,55,7.05,4.59,4.23,3.9,1.92,3.78,5.06,4.47,3.53,5.69,4.17,4.29,3.53,74.014114477512,5.0,15.5,89.196552075938,62.874543810673,60.0,82.613205792193,79.962143564022,
11,2011,0.74,0.69,0.28,0.95,0.74,42.0,0.958,0.934,69.8,39.8,50,7.05,4.64,4.03,4.23,2.36,3.69,5.01,4.47,3.74,5.2,4.2,4.34,3.62,74.376121795251,5.0,15.5,89.163023769785,64.159569356954,60.0,81.896886676616,79.962143564022,
12,2012,0.78,0.83,0.24,1.01,0.78,49.0,0.956,0.938,73.1,47.0,50,7.05,4.69,4.24,4.32,2.51,3.59,5.08,4.51,3.99,5.31,4.23,4.37,3.68,77.728796216954,4.0,15.5,91.495551822961,64.012405593057,60.0,82.315190787961,78.322799301727,
13,2013,0.76,0.88,0.32,1.04,0.77,53.0,0.965,0.957,75.2,45.2,50,7.05,4.97,4.48,4.44,2.55,3.68,5.34,4.7,4.07,5.78,4.38,4.53,3.95,77.810472073039,4.0,15.5,91.53239862466,64.188059834186,60.0,84.22988195719,75.590558864568,
14,2014,0.87,0.95,0.41,1.17,0.85,55.0,0.967,0.954,75.8,44.8,50,7.48,5.17,4.44,4.76,2.72,3.76,5.66,4.99,4.15,5.98,4.56,4.82,4.01,77.907463386325,4.0,12.5,92.332632739749,72.44980196402,68.0,84.865340520544,75.590558864568,
15,2015,0.77,1.05,0.43,1.07,0.85,55.0,0.967,0.954,79.2,45.5,50,7.37,5.01,4.46,4.75,2.63,3.72,5.77,4.99,4.09,6.17,4.55,4.87,4.01,78.042767745632,4.0,12.5,92.038243296984,74.384441575169,68.0,86.462455409777,68.877595901605,9.9
16,2016,0.93,0.97,0.4,1.07,0.84,57.0,0.964,0.954,79.8,44.3,50,7.31,4.52,4.09,4.55,2.54,3.8,5.51,4.38,3.95,6.05,4.59,4.8,4.01,79.158988866309,4.0,5.5,94.107514711983,73.392246498331,68.0,89.093857316576,71.655373679383,10.0
17,2017,0.9,0.87,0.5,1.14,0.8,58.0,0.95,0.954,80.1,44.6,73,7.25,4.28,3.57,4.3,2.35,3.66,5.35,4.45,3.75,6.06,4.41,4.62,,80.624336664215,4.0,5.5,94.112781067135,73.387156443866,68.0,90.04053428721,71.655373679383,8.6
18,2018,0.92,1.0,0.3,1.13,0.79,58.0,0.963,0.963,83.6,43.2,68,7.38,,,,,,,,,,,,,80.017812867002,4.0,5.5,94.113948739734,73.413091390073,68.0,90.04053428721,73.507225531235,8.3
19,2019,0.98,1.07,0.48,1.18,0.86,56.0,0.972,0.963,86.1,43.2,67,7.49,,,,,,,,,,,,,80.386014945965,4.0,5.5,94.116763715984,73.456907838153,68.0,89.990298391479,73.507225531235,8.7
20,2020,0.92,0.84,0.69,1.18,0.87,57.0,0.961,0.963,88.9,41.1,72,7.24,,,,,,,,,,,,,80.340842589114,4.0,5.5,94.137988719694,73.514454487678,68.0,89.188134999936,73.507225531235,7.2
21,2021,0.95,0.83,0.72,1.22,0.9,59.0,0.955,0.961,91.2,40.0,75,7.31,,,,,,,,,,,,,,,,,,,,,7.3
22,2022,0.92,0.69,0.69,1.17,0.94,59.0,0.938,0.945,91.0,36.5,89,7.37,,,,,,,,,,,,,,,,,,,,,6.7
23,2023,1.04,0.7,0.7,1.17,0.99,60.0,0.943,0.93,92.2,39.73,87,7.38,,,,,,,,,,,,,,,,,,,,,7.7
24,2024,,,,,,59.0,0.943,0.947,,36.4,88,7.66,,,,,,,,,,,,,,,,,,,,,7.9
25,2025,,,,,,,,,,37.5,88,,,,,,,,,,,,,,,,,,,,,,
