,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,0.22,0.1,0.37,0.71,0.86,,0.93,0.963,6.43,,50,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,48.0,0.922,0.963,7.18,,50,,,,,,,,,,,,,,,,,,,,,,
2,2002,0.4,0.49,0.21,1.08,0.9,48.0,0.922,0.963,17.7,,50,,,,,,,,,,,,,,,,,,,,,,
3,2003,0.49,0.73,0.35,1.04,0.92,47.0,0.922,0.954,25.9,,50,,,,,,,,,,,,,,,,,,,,,,
4,2004,0.56,0.69,0.37,1.06,0.88,46.0,0.959,0.964,31.2,,50,,,,,,,,,,,,,,,,,,,,,,
5,2005,0.58,0.76,0.31,0.94,0.9,48.0,0.959,0.964,36.2,,50,,,,,,,,,,,,,,,,,,,,,,
6,2006,0.71,0.72,0.16,0.97,0.86,48.0,0.962,0.964,43.9,,50,7.43,,,,,,,,,,,,,,8.0,26.0,79.298404004028,75.435260567286,50.0,77.354839851362,77.271251698046,
7,2007,0.69,0.66,0.1,1.01,0.89,48.0,0.962,0.964,49.9,,50,,,,,,,,,,,,,,,,,,,,,,
8,2008,0.68,0.56,0.11,1.04,0.85,46.0,0.962,0.964,55.2,,50,7.36,5.0,4.11,,2.7,3.66,5.04,5.03,4.32,5.91,4.35,4.55,4.03,,7.0,26.0,81.503459908765,75.571061302223,50.0,79.492010429033,77.271251698046,
9,2009,0.72,0.69,0.23,0.95,0.9,49.0,0.967,0.964,59.8,,50,,,,,,,,,,,,,,,,,,,,,,
10,2010,0.78,0.74,0.37,0.96,0.92,50.0,0.97,0.97,62.1,,55,7.24,5.14,4.59,4.64,2.05,3.68,5.64,5.01,3.86,5.92,4.16,4.38,3.85,73.141176081622,7.0,26.0,82.520151442472,75.934847385221,50.0,80.789148402894,74.812235304603,
11,2011,0.77,0.7,0.32,0.93,0.86,48.0,0.966,0.97,63.6,38.5,60,7.24,5.0,4.59,4.48,2.04,3.8,5.71,5.02,3.83,5.97,4.2,4.27,3.76,73.230806240064,6.0,22.0,84.636537376794,75.872410533319,50.0,80.127684364775,74.812235304603,
12,2012,0.84,0.83,0.39,1.12,0.93,54.0,0.966,0.97,67.2,44.0,60,7.24,4.96,4.58,4.51,2.13,3.97,5.74,5.01,4.01,5.9,4.33,4.3,3.78,74.330058673819,6.0,22.0,84.670001223284,77.991191749605,56.666666666667,81.101555883641,74.812235304603,
13,2013,0.83,0.83,0.42,1.15,0.94,57.0,0.957,0.974,68.5,41.4,60,7.54,4.86,4.65,4.58,2.4,3.95,5.68,5.21,4.26,5.92,4.37,4.25,3.91,74.33159222087,7.0,19.5,84.317188198773,79.437628451236,56.666666666667,81.028515439346,72.899666998592,
14,2014,0.94,0.98,0.55,1.19,0.96,58.0,0.943,0.974,72.1,41.0,60,7.54,4.89,4.65,4.57,2.72,3.93,5.72,5.36,4.27,5.95,4.39,4.12,3.76,75.409556991683,6.0,8.5,90.098078165672,79.4894469601,60.0,81.075003706233,72.899666998592,
15,2015,0.98,1.15,0.58,1.26,0.97,61.0,0.953,0.974,71.4,42.3,60,7.54,5.03,4.53,4.74,3.0,4.04,5.76,5.36,4.35,5.85,4.36,4.32,3.76,75.648604576283,5.0,5.5,92.436369181715,79.333190618402,60.0,81.549465695883,78.80244477637,5.5
16,2016,1.0,1.03,0.68,1.12,1.0,59.0,0.948,0.974,74.4,41.8,65,7.47,5.05,4.3,4.92,3.06,3.99,5.69,5.34,4.28,5.87,4.19,4.47,3.76,78.996604564176,4.0,5.5,92.931331733474,79.315018869747,64.0,85.480409149,78.80244477637,4.8
17,2017,0.96,0.93,0.52,1.15,0.99,59.0,0.893,0.972,77.6,41.2,73,7.41,4.87,4.05,4.94,2.81,3.59,5.62,5.31,4.19,5.9,4.03,4.43,,79.221080207652,4.0,5.5,92.984744091709,79.323841783044,64.0,85.497006103916,78.80244477637,5.4
18,2018,0.92,1.03,0.47,1.09,0.9,59.0,0.91,0.967,79.7,,74,7.5,,,,,,,,,,,,,80.641847485891,4.0,5.5,93.053500161956,84.759393499681,66.0,87.887522095234,78.80244477637,4.6
19,2019,0.99,1.01,0.67,1.15,0.99,60.0,0.91,0.967,81.6,41.5,74,7.5,,,,,,,,,,,,,80.967167541216,4.0,5.5,93.175686141682,84.854330721991,68.0,88.744373450497,78.80244477637,4.0
20,2020,0.95,1.01,0.78,1.08,1.0,60.0,0.905,0.967,83.1,39.2,78,7.13,,,,,,,,,,,,,81.6296996214,4.0,5.5,93.273709124404,84.87029725553,70.0,88.915657147028,78.80244477637,5.6
21,2021,1.07,1.02,0.82,1.27,1.03,61.0,0.912,0.969,86.9,39.9,79,7.18,,,,,,,,,,,,,,,,,,,,,5.3
22,2022,1.06,0.99,0.75,1.3,1.07,62.0,0.912,0.957,87.7,37.4,89,7.31,,,,,,,,,,,,,,,,,,,,,4.8
23,2023,1.27,1.05,0.78,1.34,1.07,61.0,0.885,0.947,88.5,41.95,88,7.31,,,,,,,,,,,,,,,,,,,,,6.4
24,2024,,,,,,63.0,0.908,0.94,,40.1,89,7.59,,,,,,,,,,,,,,,,,,,,,8.4
25,2025,,,,,,,,,,40.8,89,,,,,,,,,,,,,,,,,,,,,,
