,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,0.63,0.57,0.7,0.7,1.08,,0.966,0.965,7.29,,70,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,41.0,0.966,0.965,9.9,,70,,,,,,,,,,,,,,,,,,,,,,
2,2002,0.67,0.45,0.38,0.65,1.09,40.0,0.966,0.965,21.2,,70,,,,,,,,,,,,,,,,,,,,,,
3,2003,0.51,0.51,0.4,0.69,1.01,36.0,0.966,0.965,24.9,,70,,,,,,,,,,,,,,,,,,,,,,
4,2004,0.42,0.44,0.11,0.76,1.02,35.0,0.966,0.965,32.5,,50,,,,,,,,,,,,,,,,,,,,,,
5,2005,0.47,0.45,0.25,0.81,0.94,34.0,0.966,0.965,38.8,,50,,,,,,,,,,,,,,,,,,,,,,
6,2006,0.38,0.33,0.26,0.7,0.8,37.0,0.957,0.959,44.6,,50,7.3,,,,,,,,,,,,,,11.0,52.0,56.108210780347,49.967089071626,56.666666666667,51.654367533929,52.749451400542,
7,2007,0.41,0.36,0.28,0.77,0.88,42.0,0.957,0.959,48.6,,50,,,,,,,,,,,,,,,,,,,,,,
8,2008,0.55,0.46,0.45,0.84,0.95,46.0,0.979,0.963,53.1,,50,7.3,4.59,2.98,,1.88,3.8,4.38,4.66,4.54,5.57,4.51,3.86,3.69,,11.0,45.0,59.448350041875,54.284357885479,60.0,51.550416429655,56.84781205628,
9,2009,0.65,0.52,0.44,0.98,1.03,50.0,0.979,0.963,59.0,,50,,,,,,,,,,,,,,,,,,,,,,
10,2010,0.71,0.63,0.51,1.02,1.04,53.0,0.978,0.964,62.3,,55,7.05,5.12,3.71,4.92,2.49,3.83,4.65,4.59,4.2,5.38,4.23,4.1,4.0,65.079783478529,7.0,39.0,78.465629533865,54.834479018019,60.0,53.32365505807,56.84781205628,
11,2011,0.79,0.6,0.56,0.96,1.03,55.0,0.978,0.964,62.0,38.0,60,7.12,5.2,3.99,4.93,2.5,3.68,4.62,4.35,4.14,5.32,4.03,4.0,3.85,67.008433193879,7.0,39.0,78.541562919198,54.910657329435,60.0,63.90122473278,56.84781205628,
12,2012,0.82,0.66,0.66,1.0,1.06,58.0,0.978,0.964,62.3,40.4,60,7.12,5.19,3.84,4.93,2.41,3.67,4.56,4.23,4.17,5.36,3.97,4.1,3.72,68.03845257553,7.0,39.0,78.623297416329,66.03972558924,60.0,65.669944361901,56.84781205628,
13,2013,0.84,0.66,0.65,1.05,1.0,60.0,0.975,0.961,62.8,40.1,60,7.12,4.97,3.59,4.76,2.35,3.44,4.43,4.15,4.08,5.43,3.96,4.13,3.77,72.786017773583,7.0,39.0,79.040430318391,70.275720465996,60.0,72.179181254574,64.976227356826,
14,2014,0.87,0.77,0.68,1.06,1.11,61.0,0.975,0.957,66.6,40.6,60,7.47,4.89,3.57,4.66,2.4,3.57,4.45,4.2,4.12,5.57,4.0,4.01,3.83,73.637090395687,5.0,37.0,82.524811958694,71.219948308247,66.0,72.292208822099,64.826246104483,
15,2015,0.8,0.74,0.69,0.95,1.04,62.0,0.965,0.874,68.0,40.2,60,7.09,4.97,3.6,4.75,2.42,3.6,4.64,4.2,4.09,5.56,4.06,4.06,3.83,74.112610918189,5.0,37.0,82.560571869688,75.499244425099,66.0,72.258397997894,63.437357215594,5.3
16,2016,0.59,0.65,0.76,0.91,0.84,62.0,0.745,0.783,73.3,40.2,65,6.83,4.97,3.57,4.84,2.36,3.59,4.81,4.68,3.99,5.48,4.17,4.18,3.83,76.888425006785,5.0,37.0,82.711079712512,75.53228936477,66.0,79.141239486985,63.437357215594,5.2
17,2017,0.4,0.55,0.7,0.81,0.78,60.0,0.709,0.69,76.0,42.0,61,6.67,4.85,3.3,4.79,2.26,3.61,4.81,4.61,3.92,5.47,4.2,4.27,,77.649190034668,5.0,37.0,82.752840150967,77.966096271811,66.0,79.105835731116,63.437357215594,5.0
18,2018,0.38,0.55,0.62,0.87,0.71,60.0,0.709,0.595,77.5,41.7,62,6.67,,,,,,,,,,,,,77.82597972052,5.0,37.0,82.780110350102,77.975538426611,66.0,79.495815659327,63.437357215594,4.8
19,2019,0.39,0.51,0.61,1.01,0.67,58.0,0.704,0.572,80.4,41.3,62,6.62,,,,,,,,,,,,,76.901920545074,5.0,37.0,82.848011937395,77.999048973608,66.0,76.490761458316,64.36328314152,5.1
20,2020,0.52,0.32,0.62,0.85,0.62,56.0,0.707,0.57,83.2,40.0,63,6.85,,,,,,,,,,,,,76.389915963137,5.0,37.0,82.908585118774,78.020022100811,66.0,76.831745719469,64.36328314152,5.3
21,2021,0.43,0.25,0.55,0.83,0.58,56.0,0.641,0.542,85.4,39.9,63,6.8,,,,,,,,,,,,,,,,,,,,,5.8
22,2022,0.43,0.26,0.51,0.72,0.6,55.0,0.616,0.57,86.9,37.5,72,7.04,,,,,,,,,,,,,,,,,,,,,4.7
23,2023,0.46,0.42,0.57,0.78,0.63,54.0,0.665,0.567,86.4,37.75,73,7.18,,,,,,,,,,,,,,,,,,,,,3.7
24,2024,,,,,,53.0,0.933,0.774,,37.0,72,7.4,,,,,,,,,,,,,,,,,,,,,4.1
25,2025,,,,,,,,,,37.7,72,,,,,,,,,,,,,,,,,,,,,,
