,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,SOARS,TOGP,IPAB,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
0,2000,1.8,1.88,2.23,1.35,1.57,,0.975,0.973,45.7,,70,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,90.0,0.975,0.973,51.8,,90,,,,,,,,,,,,,,,,,,,,,,
2,2002,1.84,1.96,2.2,1.59,1.51,93.0,0.975,0.973,70.6,,90,,,,,,,,,,,,,,,,,,,,,,
3,2003,1.89,2.02,2.15,1.61,1.55,93.0,0.975,0.973,79.1,,90,,,,,,,,,,,,,,,,,,,,,,
4,2004,1.87,2.1,2.13,1.67,1.74,92.0,0.975,0.973,83.9,,90,,,,,,,,,,,,,,,,,,,,,,
5,2005,1.8,1.89,2.01,1.53,1.58,92.0,0.975,0.973,84.8,,90,,,,,,,,,,,,,,,,,,,,,,
6,2006,1.85,1.8,2.19,1.44,1.49,92.0,0.975,0.973,87.8,,90,9.88,,,,,,,,,,,,,,3.0,16.0,90.891166874317,79.224009934259,43.333333333333,80.863303433715,66.054194557648,
7,2007,1.89,2.02,2.23,1.57,1.51,93.0,0.979,0.973,82.0,,90,,,,,,,,,,,,,,,,,,,,,,
8,2008,1.92,1.95,2.21,1.64,1.52,93.0,0.979,0.973,90.0,,90,9.88,6.07,5.85,,5.73,5.34,6.62,6.25,6.59,3.04,5.4,5.72,6.23,,3.0,16.0,91.142842036769,79.794473635817,56.666666666667,81.042448173789,66.054194557648,
9,2009,1.96,2.04,2.24,1.65,1.55,92.0,0.979,0.973,91.0,,90,,,,,,,,,,,,,,,,,,,,,,
10,2010,1.93,1.96,2.22,1.66,1.54,92.0,0.979,0.973,90.0,,95,9.5,6.32,5.81,6.65,5.82,5.41,6.84,6.43,6.78,3.06,5.63,5.86,6.47,81.241760167276,3.0,16.0,91.309257735055,79.981416558849,56.666666666667,80.982778446747,68.195515007345,
11,2011,1.92,1.93,2.17,1.89,1.61,93.0,0.977,0.973,92.8,62.1,90,9.5,6.26,5.75,6.56,5.79,5.34,6.87,6.46,6.62,3.04,5.54,5.66,6.31,82.606502569958,3.0,16.0,92.163977085665,79.845454863202,63.333333333333,81.946012028126,68.195515007345,
12,2012,1.93,1.91,2.28,1.9,1.69,88.0,0.977,0.978,93.2,64.8,90,9.73,5.94,5.49,6.24,5.47,5.28,6.69,6.3,6.22,3.47,5.42,5.57,5.98,82.272773614302,3.0,16.0,92.214270437618,80.073254163226,63.333333333333,81.946012028126,68.195515007345,
13,2013,1.95,1.79,2.24,1.9,1.66,89.0,0.976,0.978,94.8,61.4,90,9.73,5.93,5.46,6.16,5.55,5.04,6.53,6.23,6.17,3.53,5.38,5.65,5.94,82.167303947023,3.0,16.0,92.263775583917,83.179327735688,63.333333333333,81.946012028126,68.195515007345,
14,2014,1.98,1.68,2.11,1.81,1.61,87.0,0.976,0.978,92.5,62.3,90,9.73,5.87,5.2,5.72,5.31,4.58,6.35,5.96,5.79,3.6,5.16,5.37,5.63,80.978515516789,3.0,16.0,92.275828901156,83.233922172598,72.0,81.952861552168,68.004258176744,
15,2015,1.99,1.68,2.15,1.8,1.57,89.0,0.974,0.974,90.6,62.4,90,9.45,5.97,5.4,5.93,5.39,4.61,6.48,5.96,5.94,3.61,5.36,5.65,5.63,81.394674421705,3.0,16.0,92.291099914425,77.477318159817,72.0,83.459378219594,67.3098137323,7.0
16,2016,1.95,1.66,2.11,1.84,1.57,88.0,0.973,0.974,89.7,63.6,90,9.39,6.2,5.83,6.47,5.65,4.69,6.58,6.04,6.31,3.4,5.42,6.07,5.63,81.632083049142,3.0,7.0,94.612285829081,77.680731942764,72.0,85.281397543646,67.609776236987,7.4
17,2017,1.82,1.68,2.1,1.79,1.57,84.0,0.973,0.974,93.0,63.8,89,9.39,5.94,5.48,6.02,5.24,4.76,6.47,6.02,5.98,3.62,5.34,5.68,,82.150711595811,3.0,7.0,94.64026781946,77.775788410079,72.0,85.279350963147,67.609776236987,7.7
18,2018,1.78,1.67,2.11,1.83,1.58,85.0,0.964,0.974,89.2,63.1,93,9.39,,,,,,,,,,,,,82.174909544016,3.0,7.0,94.668856948905,77.891382206388,72.0,85.279350963147,67.609776236987,7.5
19,2019,1.79,1.67,2.09,1.79,1.56,85.0,0.964,0.974,94.5,63.7,90,9.39,,,,,,,,,,,,,82.018478574585,4.0,7.5,93.089837759894,77.972100115405,72.0,85.279350963147,67.609776236987,6.5
20,2020,1.77,1.67,2.09,1.68,1.5,85.0,0.962,0.974,94.5,62.5,89,9.26,,,,,,,,,,,,,81.55856379716,4.0,7.5,93.111728425739,78.045257205458,72.0,85.283435803298,67.609776236987,7.7
21,2021,1.7,1.61,2.1,1.75,1.49,85.0,0.965,0.966,94.7,63.1,87,9.26,,,,,,,,,,,,,,,,,,,,,8.4
22,2022,1.69,1.57,2.06,1.68,1.53,83.0,0.959,0.977,95.0,61.6,97,9.39,,,,,,,,,,,,,,,,,,,,,8.8
23,2023,1.6,1.6,2.03,1.72,1.57,82.0,0.953,0.977,95.7,64.22,97,9.39,,,,,,,,,,,,,,,,,,,,,7.4
24,2024,,,,,,80.0,0.953,0.977,,64.5,96,9.39,,,,,,,,,,,,,,,,,,,,,7.2
25,2025,,,,,,,,,,62.6,97,,,,,,,,,,,,,,,,,,,,,,
