,REF_AREA_LABEL,TIME_PERIOD,HI,LF,UR,URFF,YUA,FDI,QOR,QOA,EPFR,GGA,OCTB,EIAP,PS,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EIA,EBSG,GDPC,GDP,EIS,NINA,LBGD,EMP,LTU,FEM
0,Denmark,2000,,2.86,4.48,4.97,6.73,21.95,,,5542.0,70523.0,210.0,3.67,5.34,133.0,14.82,18.5,0.33,23.68,22.2944061771116,23.8904895144931,3.37790720232864,25.3380480625821,3.66821885445395,6.71528121185067,248329.201762823,1876432729000.0,70.9937696652827,1.54421334972908,1.84406645963936,,,
1,Denmark,2001,,2.85,4.16,4.78,8.23,5.63,,,5818.0,72212.0,213.0,3.55,5.36,134.0,14.8,18.66,0.36,22.9,21.7493884508849,24.3116116711211,0.588959728591007,25.3913362293556,3.54826150846852,7.13650788114402,256079.884929097,1894259445000.0,71.0604022621759,1.28990036347878,1.273504251294,,,
2,Denmark,2002,,2.88,4.27,4.32,7.04,2.48,,,6757.0,71564.0,197.0,3.21,5.38,134.0,14.82,18.77,0.32,22.66,21.256815503883,24.8477658486744,0.13609648331196,23.486351952492,3.21288343780703,6.84611814754535,262555.318883371,1902907308000.0,73.300764609701,1.39902868627165,0.522784862308124,,,
3,Denmark,2003,,2.88,5.4,5.75,9.8,0.54,,,8057.0,77082.0,188.0,3.29,5.39,135.0,14.87,18.83,0.27,22.17,20.885998901756,25.0007505768517,0.168251992521974,23.14646142385,3.29493479448351,6.78499415289513,266927.658538775,1911300861000.0,73.5586037816665,1.35131632443161,0.690530703535921,,,
4,Denmark,2004,,2.9,5.2,5.44,7.78,-3.49,,,9492.0,70908.0,185.0,3.27,5.4,135.0,14.96,18.83,0.26,22.14,21.6460819600503,24.8732294572073,2.51108744805822,23.6924508955517,3.27172703671653,5.63535879382754,279335.337642193,1964365297000.0,73.0358220677318,1.41759057629609,2.11343605099309,,,
5,Denmark,2005,,2.9,4.83,5.28,8.6,4.85,,,9789.0,67219.0,183.0,3.18,5.42,135.0,15.09,18.77,0.28,22.11,22.1713094338111,24.4356057323132,2.07801485327876,23.8922205759863,3.18251632289375,5.35144722324195,293403.176015494,2010716634000.0,72.92526310112,1.25421475951841,5.65167043969722,:,:,
6,Denmark,2006,,2.93,3.9,4.53,7.69,0.84,6.36,6.41,9178.0,74875.0,190.0,3.09,5.44,136.0,15.25,18.67,0.33,22.69,24.2627515456151,24.1607314049511,3.47585987311464,23.3310303686328,3.08832531669902,3.93887148585628,309942.332478493,2087455387000.0,73.5806443146682,1.36271329671834,5.49025408515426,:,:,
7,Denmark,2007,,2.93,3.8,4.2,7.49,3.69,6.42,6.45,10277.0,69975.0,191.0,2.96,5.46,137.0,15.46,18.53,0.44,22.06,25.231367727118,24.2779391801677,0.540321532272571,23.5068039283613,2.96382289397701,2.74729987567765,319173.149269478,2108062200000.0,73.5293731776617,1.73485344013096,5.54853641996053,:,:,:
8,Denmark,2008,,2.92,3.68,4.07,9.47,0.62,6.23,6.44,10070.0,66418.0,181.0,2.71,5.49,137.0,15.74,18.37,0.59,22.61,24.0357328016323,24.9864493189355,-1.00055940971312,23.2551790441135,2.70586238823944,3.47152728769529,329422.223702727,2099267819000.0,74.0389585676471,1.61477943212022,3.83561918698261,:,:,:
9,Denmark,2009,,2.91,6.41,5.67,13.44,1.17,6.06,6.43,10044.2,63486.0,167.0,2.76,5.52,138.0,16.1,18.19,0.54,19.85,19.0326255602397,27.8156943528533,-5.48158280998165,20.5708950422794,2.75931137453458,4.60296285298569,313144.896656675,1994840181000.0,76.6697935831861,1.61494833507023,-2.11144188536374,76.1,0.6,73.1
