,REF_AREA_LABEL,TIME_PERIOD,HI,LF,UR,URFF,YUA,FDI,QOR,QOA,EPFR,GGA,OCTB,EIAP,PS,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EIA,EBSG,GDPC,GDP,EIS,NINA,LBGD,EMP,LTU,FEM
0,Estonia,2000,,0.68,13.36,11.61,21.11,7.32,,,13.3,18061.0,21.0,6.36,1.4,33.0,14.99,17.63,0.48,24.88,28.4761032107323,19.5619806388734,9.55642258870186,34.9923714556216,6.36200167555528,-3.24083773451,4417.83197385799,14685331000.0,58.6454565888146,2.91148125521531,0.228464210109298,,,
1,Estonia,2001,,0.67,13.13,13.24,23.85,9.49,,,11.0,18336.0,24.0,6.34,1.39,33.0,15.29,17.15,-0.64,25.38,29.6026320949271,18.6429936241419,6.55731967784041,33.7535816618911,6.34446093830911,-3.95586211005571,5029.92835608001,15548938000.0,59.9019573997998,2.86614621109993,0.66741916028644,,,
2,Estonia,2002,,0.65,10.03,8.68,20.19,4.59,,,24.0,17892.0,25.0,6.6,1.38,33.0,15.65,16.65,-0.63,25.48,32.9307657546669,18.1712736950047,7.61250041092767,29.8007636826474,6.5965210012728,-7.40430239227406,5672.85750534672,16626946000.0,63.6027153160798,3.90617734426778,0.962318028600143,,,
3,Estonia,2003,,0.68,11.29,10.38,26.72,10.51,,,36.0,19781.0,24.0,6.24,1.37,32.0,16.03,16.11,-0.63,26.11,35.1880300634078,17.8422111254822,8.27372395680648,30.6995253072155,6.2355777653566,-8.45008862186286,6381.10846854208,17889979000.0,63.0648969274279,3.62109624111623,2.10707725290632,,,
4,Estonia,2004,,0.68,10.25,8.83,25.6,8.95,,,38.0,19914.0,25.0,5.06,1.36,32.0,16.39,15.61,-0.6,25.43,34.6488549298291,17.3707687385367,7.44108988454812,33.9540152778189,5.06229838112995,-7.81780967131746,7177.43862610546,19106623000.0,60.9838507601093,2.56817959664715,3.0491985423972,,,
5,Estonia,2005,,0.67,8.03,6.91,15.12,21.67,,,89.0,19904.0,26.0,5.19,1.35,32.0,16.72,15.21,-0.57,26.26,33.3508381603819,16.8521596602407,10.1516023275001,34.0741506332098,5.19325738906312,-5.06780608459327,8374.41051097046,20926157000.0,60.732591977727,2.96217076139793,1.46490546600124,:,:,
6,Estonia,2006,,0.69,5.91,5.59,12.12,10.33,3.68,5.21,115.8,19200.0,28.0,5.06,1.35,32.0,17.08,14.96,-0.59,26.94,39.8256877468792,15.8323866569136,10.4117043601584,33.5410662326926,5.06396874650093,-10.1080283244701,10076.5237858347,22969088000.0,61.3949650208065,3.2198811939589,3.06679685447739,:,:,
7,Estonia,2007,,0.69,4.59,3.76,10.1,13.51,3.78,4.99,124.6,22932.0,30.0,4.78,1.34,32.0,17.37,14.85,-0.46,26.84,40.0058943445447,15.8991591535824,8.06276601408268,35.127995824508,4.77647765686923,-8.79001141495789,12234.2117432944,24708059000.0,60.0955265186228,3.83710230758511,3.16909422251199,:,:,:
8,Estonia,2008,,0.7,5.45,5.14,12.03,8.12,4.0,5.1,169.51,20663.0,28.0,3.9,1.34,32.0,17.44,14.89,-0.27,26.13,31.6334055843093,18.436466577074,-4.87057915292706,35.2671203523308,3.90156500278108,-3.90433868093249,12429.172307025,23441694000.0,60.8311626733615,4.28680902817796,-2.02540212897082,:,:,:
9,Estonia,2009,,0.69,13.55,10.3,27.41,9.51,4.22,4.87,509.63,17144.0,26.0,4.05,1.33,31.0,17.43,15.04,-0.19,23.28,21.0087753498274,20.5332841041619,-14.4654981470721,31.4417826849072,4.05442615464174,4.96376377299993,10590.0210938056,20012122000.0,64.5036232614054,4.37171989480558,-2.23951218400766,70.5,3.7,69.9
