,REF_AREA_LABEL,TIME_PERIOD,HI,LF,UR,URFF,YUA,FDI,QOR,QOA,EPFR,GGA,OCTB,EIAP,PS,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EIA,EBSG,GDPC,EIS,NINA,LBGD,PA,CO2,EMP,LTU,FEM,REST,PC,ARP
0,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3365,,,,,,
11,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3513,,,,,,
12,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0754,,,,,,
13,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0278,,,,,,
14,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9401,,,,,,
15,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9201,,,,,,
16,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5433,,,,,,
17,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0262,,,,,,
18,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,
19,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1808,,,,,,
20,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8461,,,,,,
21,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0517,,,,,,
22,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.431,,,,,,
23,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6516,,,,,,
24,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7219,,,,,,
25,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7631,,,,,,
26,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.116,,,,,,
