,REF_AREA_LABEL,TIME_PERIOD,HI,LF,UR,URFF,YUA,FDI,QOR,QOA,EPFR,GGA,OCTB,EIAP,PS,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EIA,EBSG,GDPC,GDP,EIS,NINA,LBGD,EMP,LTU,FEM
0,Lithuania,2000,,1.69,15.93,13.61,28.53,3.29,,,0.0,20401.0,57.0,19.24,3.5,56.0,13.84,19.95,-0.7,26.5,19.1446223329092,22.3826570467051,4.14861792867285,26.7772005375036,19.2411465332078,-6.17683498560436,3823.78721064735,22907927000.0,53.9816529292887,2.0207778197346,-3.11774160124728,,,
1,Lithuania,2001,,1.65,16.84,14.1,31.53,3.61,,,2.0,20851.0,55.0,17.57,3.47,55.0,14.24,19.33,-0.82,27.21,19.3746140196783,21.1308403240418,7.36519017903279,26.6369708191206,17.5732880472875,-5.46122201968278,4092.43354160316,24393306000.0,55.7897411335919,1.25327264847341,-3.09065866371465,,,
2,Lithuania,2002,,1.63,13.01,12.78,20.42,4.63,,,4.0,21212.0,53.0,18.64,3.44,55.0,14.73,18.6,-0.8,26.4,21.064433775953,20.5566658733581,7.57999763692278,27.369223659236,18.6413082651297,-5.67409406473885,4416.51498504095,26032497000.0,53.9894680756342,1.89686458104331,-1.86895520077557,,,
3,Lithuania,2003,,1.68,12.87,13.2,26.93,1.16,,,7.0,21387.0,52.0,18.71,3.42,54.0,15.17,17.92,-0.81,27.96,22.2317698184889,19.5456507640416,11.4535417783581,27.2358164852998,18.712838232252,-5.78447596830438,4882.37600407354,28779419000.0,54.0513452824482,2.09590728372446,-1.22823348958526,,,
4,Lithuania,2004,,1.59,10.68,11.07,20.25,3.87,,,7.0,22363.0,55.0,16.28,3.38,54.0,15.61,17.36,-1.12,29.53,23.4409316851452,19.0877078519304,7.70478467031737,28.2035689601536,16.2842780787806,-7.02539361002001,5422.67968582279,30650667000.0,55.5121529610658,2.5082021559671,-1.53171585595122,,,
5,Lithuania,2005,,1.55,8.32,8.53,15.77,4.95,,,9.0,23504.0,68.0,14.27,3.32,53.0,16.05,16.83,-1.63,29.72,24.4085431146972,18.5191005650631,9.50010821862925,29.0598188449609,14.271161703791,-7.22213729778401,6316.26761309461,33020407000.0,56.6690897535763,2.79455482665684,-0.292099828952439,:,:,
6,Lithuania,2006,,1.51,5.78,5.61,9.98,7.5,4.92,4.47,38.0,23637.0,73.0,13.83,3.27,52.0,16.47,16.3,-1.6,30.17,26.8802630577834,19.1899246295583,9.12367697158992,29.5708517627929,13.8325563011345,-10.2834906290498,7339.52963217019,35462425000.0,56.5966622663365,3.11836275764996,0.0750012687714634,:,:,
7,Lithuania,2007,,1.51,4.25,4.33,8.39,6.55,4.97,4.4,160.0,24650.0,74.0,11.33,3.23,52.0,16.82,15.76,-1.19,29.65,32.4396749969277,17.4513357826862,12.4053451378162,30.5485217463537,11.3254096261275,-13.0946532321483,8985.27462991606,39390927000.0,58.1260686275189,3.72364848470156,-0.493558187376042,:,:,:
8,Lithuania,2008,,1.51,5.83,5.63,13.35,3.61,5.21,4.61,200.09,24087.0,68.0,8.06,3.2,51.0,17.1,15.31,-1.03,29.2,28.2461520781263,18.6665424842249,3.66012476803633,30.5166922086162,8.06458072907334,-11.5982555630593,10219.1167554814,40414879000.0,61.4187270623104,3.48095192869078,-2.84458975367572,:,:,:
9,Lithuania,2009,,1.52,13.78,10.52,29.58,-0.96,5.28,4.22,260.09,20511.0,57.0,8.98,3.16,50.0,17.28,15.04,-1.11,25.02,12.9798453346191,21.2054131585729,-13.8877568111501,26.8489607587766,8.98390561707858,-1.7551884432166,8528.0345731597,34417872000.0,64.1671336241448,2.77331059780442,-8.62625802840177,67.0,3.3,67.2
10,Lithuania,2010,,1.49,17.81,14.52,35.74,3.01,5.27,3.57,371.09,21317.0,55.0,8.83,3.1,49.0,17.61,14.92,-2.1,26.21,17.8578010235461,20.1107100441688,2.5553360476174,24.5594454168871,8.83049522289229,-2.0294805048426,8931.51931273936,34564905000.0,66.6100593602206,2.59163015032054,-7.01684396810606,64.3,7.4,65.0
11,Lithuania,2011,,1.48,15.39,12.91,32.59,4.36,5.23,3.73,632.27,20785.0,55.0,8.49,3.03,48.0,17.99,14.83,-2.26,28.35,22.3672029077554,18.4673993995514,8.75223892258067,24.5580243681273,8.48613966972758,-2.70687301540244,10259.3319606422,36750664000.0,66.9558359621451,2.37324644009476,-5.54134997843493,66.9,8.0,66.6
