,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,EUPC
0,35330.0,26.46,77.26428571428572,6.71,6.55,11.82,10.039,6.3897695714769,17.5553649959484,-0.16886815460503,1.46,-1.2,15.2,1.0047369636562538e-05,581.6579555123375,6.196332770147077
1,35750.0,26.06,77.26428571428572,6.67,6.54,10.93,10.072,5.78368755985295,17.9510982051837,-0.295519137499614,0.81,-2.6,15.2,1.0107308488612835e-05,599.6833516015101,10.012676738521495
2,33880.0,23.87,73.2,6.61,6.49,11.31,10.851,4.76818431421276,19.5979349625431,-2.07072913618746,1.63,-2.4,15.5,9.378908424908424e-06,584.3589743589744,37.99936341880342
3,35370.0,26.06,74.0,6.61,6.42,10.42,11.667,5.10389669961698,19.1768919673096,-3.1995061275353,2.48,-0.6,15.6,9.96529713866471e-06,575.2873563218391,34.7937069699193
4,36700.0,26.31,75.4,6.45,6.15,8.93,12.47,4.85266448553575,18.6934322242076,-0.370658815565851,2.55,1.3,15.8,9.818376728541171e-06,585.3494456210291,39.85700910676467
5,36820.0,26.58,75.8,6.35,6.09,8.12,13.549,6.03714495889844,18.8977924424542,0.0929873802841043,1.82,2.4,16.1,9.946936466492604e-06,579.6344647519581,40.9209311077956
6,36910.0,25.91,76.3,6.08,6.01,7.82,13.757,5.77292765268826,19.2479981027315,0.204270249155995,1.76,3.0,16.1,1.0140307501549908e-05,587.141971481711,52.69856695598264
7,37600.0,26.01,76.7,5.94,5.88,7.61,14.381,6.5374501284684,19.2101287363869,0.684115142521196,0.44,5.3,16.7,9.616605334650533e-06,594.6406520128427,39.29514256606569
8,37950.0,25.92,77.0,5.95,5.72,7.33,14.901,7.41752953186525,19.3122356715765,0.679370635036378,1.82,12.0,16.7,9.608450238707308e-06,580.0465173215816,27.98181730934019
9,38550.0,26.22,77.6,5.9,5.6,7.08,14.885,7.26304789259444,19.5190716214398,0.736708060736333,1.64,4.2,16.5,9.584078931390409e-06,588.7067395264118,8.995472629022466
10,39540.0,26.12,78.3,5.8,5.5,6.77,15.472,7.08532591238356,19.4595495195295,0.636664655325102,2.89,3.3,16.1,9.36942535688362e-06,578.0909750786354,22.191243842245346
11,39930.0,25.94,79.0,5.6,5.5,6.22,16.66,5.98712377554916,19.5022339579089,1.11187859393261,4.0,2.7,16.0,9.006119889036305e-06,562.2602822337475,25.953483548426004
12,40300.0,25.63,79.7,5.5,5.3,5.86,17.266,5.63886185669669,19.9030235821301,0.767069886389354,1.91,1.8,14.8,8.382479239378986e-06,561.2227704898303,28.348167324587795
13,38670.0,25.38,78.3,6.166923076923077,5.980769230769231,7.86,19.09,5.34511047593648,21.7313211310231,-3.65712745171932,4.49,-0.1,16.1,7.721113516113516e-06,508.1770081770082,27.96352554112554
14,40250.0,25.31,79.6,6.166923076923077,5.980769230769231,6.66,19.302,5.15854925662186,21.6742192217514,-3.52298134618628,2.93,1.0,16.0,8.060901442307693e-06,478.6298076923077,32.395719783653846
15,40710.0,25.69,80.8,6.166923076923077,5.980769230769231,6.04,20.829,2.49690807693767,21.5213273138839,-2.69223668070362,2.09,-1.4,14.8,7.853085918854416e-06,556.9546539379476,35.09775205250597
