,GDPC,GDPCG,VABI,EMP,PAG,QOA,QOR,YUA,GGAG,REST,CO2,EBSG,FDI,GGFC,LBGD,PC,ARP,ROL,GE,COC,RQ,SSB,PT,EUPC
0,319173.149269478,0.540321532272571,22.06,76.41428571428571,157.0,6.45,6.42,7.49,-4900.0,17.747,53.8693,2.74729987567765,3.69,24.2779391801677,5.54853641996053,5.3,11.7,2.0,2.35,2.43,1.93,89.82248043446,89.50923139204,1.8665824175824175
1,329422.223702727,-1.00055940971312,22.61,76.41428571428571,-26.0,6.44,6.23,9.47,-3557.0,18.543,50.6018,3.47152728769529,0.62,24.9864493189355,3.83561918698261,6.5,11.8,1.95,2.24,2.38,1.87,90.069127603328,89.265889625488,2.784574134790528
2,313144.896656675,-5.48158280998165,19.85,76.1,-116.0,6.43,6.06,13.44,-2932.0,19.948,48.4089,4.60296285298569,1.17,27.8156943528533,-2.11144188536374,4.2,13.1,1.92,2.23,2.44,1.88,90.102783494722,90.55865045617,6.0418403985507245
3,326784.316443459,1.13266938250023,19.37,74.9,108.0,6.37,6.17,15.55,251.0,21.888,48.56,6.79383283936203,-3.57,27.3361076692926,-2.44106694235995,4.7,13.3,1.9,2.1,2.35,1.87,90.196050935943,90.980440431731,7.495644864864865
4,331838.652834933,0.894526404293345,19.85,74.8,-52.0,6.32,6.29,16.31,-5488.0,23.389,43.4849,6.15432402017224,3.94,26.5405591973408,-1.88701179271688,3.6,12.1,1.92,2.1,2.39,1.9,91.11212688302,91.037841705038,16.99311382405745
5,338534.135302201,-0.380977125445526,19.85,74.3,-168.0,5.97,5.73,15.77,-5127.0,25.465,38.5966,5.7994047065436,-5.0,26.5003228378334,-3.25795140995828,4.0,12.0,1.88,1.99,2.38,1.8,91.17098335234,91.68040528937,6.354829338103757
6,344715.698783173,0.970845909690212,19.73,74.3,-65.0,5.64,5.45,14.77,1404.0,27.173,40.3352,6.22900522298097,0.2,25.9285043343491,-1.1817281111622,4.4,11.9,1.9,1.94,2.4,1.8,91.198876357885,91.832347540767,8.319060784313725
7,350893.947080478,0.765766155124069,19.4,74.7,36.0,5.56,5.43,14.2,-4198.0,29.31,36.1972,6.45594827782968,1.86,25.7974203785069,1.25210753887521,5.8,12.1,2.1,1.78,2.25,1.68,91.219460741691,91.834964794779,23.835000177304966
8,357211.575190776,1.38566632188861,19.56,75.4,85.0,5.58,5.59,12.15,-2024.0,30.469,34.0712,6.49828069287248,0.61,25.5463558237146,-1.14367709346369,8.4,12.2,2.02,1.79,2.19,1.72,91.802316421421,91.834964794779,12.745287323943662
9,366884.878867181,2.27180151789635,20.23,76.0,90.0,5.8,5.7,12.15,1635.0,31.715,35.6784,6.03512198839121,2.5,24.9429154800128,-0.0706631304869341,7.2,11.9,1.88,1.82,2.2,1.56,91.819264375597,91.142196781168,0.4014785340314136
10,379808.676526198,2.39559065097636,20.42,76.6,-62.0,6.1,5.5,12.38,-2276.0,34.387,33.5457,6.47622620230559,1.09,24.4496622577768,1.45703115160827,5.6,12.4,1.8,1.75,2.19,1.61,91.841025786574,91.142196781168,10.241161805555556
11,387242.522657619,1.35619600199787,20.58,77.5,-228.0,5.8,5.5,10.52,-555.0,35.159,33.5379,5.15275125956845,2.47,24.3811073900807,0.801500405907226,4.3,12.7,1.77,1.81,2.16,1.63,91.866930580471,91.142196781168,6.781235233160622
12,396193.582956311,1.34779245340653,20.64,78.3,89.0,5.8,5.6,10.04,-3538.0,37.02,30.0794,6.00974076778084,-1.1,24.2047767614883,4.07933250116652,2.9,12.5,1.83,1.87,2.12,1.55,91.889598966792,91.142196781168,8.92844578313253
13,398976.348405976,-2.06613837683189,19.56,77.8,-90.0,5.8,5.5,11.59,-2434.0,31.681,27.7879,5.6403619777515,0.36,24.6799875258246,0.0817074835691645,3.0,12.1,1.81,1.84,2.24,1.79,92.07638556444,91.142196781168,8.953194682675814
14,438387.741595869,6.91766402041216,19.8,79.0,-171.0,5.8,5.5,10.81,-2409.9285714285716,41.494,29.5641,6.23680387811187,4.16,23.8455501887973,3.86886964145824,5.7,12.3,1.9,1.96,2.33,1.8,91.15624367847742,91.01755142400013,13.806880887372014
15,481824.514567671,0.743682017534567,20.84,80.1,-27.533333333333335,5.8,5.5,10.53,-2409.9285714285716,41.368,28.4942,9.55378851550884,7.67,21.6810844158444,3.32346781248848,10.0,12.4,1.9,1.99,2.4,1.84,91.15624367847742,91.01755142400013,12.717471186440678
