,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,EUPC
0,319173.149269478,22.06,76.41428571428571,6.45,6.42,7.49,17.747,2.74729987567765,24.2779391801677,5.54853641996053,3.69,5.3,11.7,9.86617216117216e-06,304.02930402930406,1.8665824175824173
1,329422.223702727,22.61,76.41428571428571,6.44,6.23,9.47,18.543,3.47152728769529,24.9864493189355,3.83561918698261,0.62,6.5,11.8,9.217085610200364e-06,297.632058287796,2.784574134790528
2,313144.896656675,19.85,76.1,6.43,6.06,13.44,19.948,4.60296285298569,27.8156943528533,-2.11144188536374,1.17,4.2,13.1,8.769728260869566e-06,275.0,6.0418403985507245
3,326784.316443459,19.37,74.9,6.37,6.17,15.55,21.888,6.79383283936203,27.3361076692926,-2.44106694235995,-3.57,4.7,13.3,8.74954954954955e-06,292.97297297297297,7.495644864864865
4,331838.652834933,19.85,74.8,6.32,6.29,16.31,23.389,6.15432402017224,26.5405591973408,-1.88701179271688,3.94,3.6,12.1,7.806983842010772e-06,282.5852782764811,16.99311382405745
5,338534.135302201,19.85,74.3,5.97,5.73,15.77,25.465,5.7994047065436,26.5003228378334,-3.25795140995828,-5.0,4.0,12.0,6.904579606440072e-06,251.52057245080505,6.354829338103757
6,344715.698783173,19.73,74.3,5.64,5.45,14.77,27.173,6.22900522298097,25.9285043343491,-1.1817281111622,0.2,4.4,11.9,7.1898752228164e-06,239.0374331550802,8.319060784313725
7,350893.947080478,19.4,74.7,5.56,5.43,14.2,29.31,6.45594827782968,25.7974203785069,1.25210753887521,1.86,5.8,12.1,6.417943262411348e-06,244.1489361702128,23.835000177304966
8,357211.575190776,19.56,75.4,5.58,5.59,12.15,30.469,6.49828069287248,25.5463558237146,-1.14367709346369,0.61,8.4,12.2,5.998450704225352e-06,257.3943661971831,12.745287323943662
9,366884.878867181,20.23,76.0,5.8,5.7,12.15,31.715,6.03512198839121,24.9429154800128,-0.0706631304869341,2.5,7.2,11.9,6.226596858638744e-06,270.8551483420593,0.4014785340314136
10,379808.676526198,20.42,76.6,6.1,5.5,12.38,34.387,6.47622620230559,24.4496622577768,1.45703115160827,1.09,5.6,12.4,5.823906249999999e-06,258.68055555555554,10.241161805555556
11,387242.522657619,20.58,77.5,5.8,5.5,10.52,35.159,5.15275125956845,24.3811073900807,0.801500405907226,2.47,4.3,12.7,5.79238341968912e-06,217.96200345423145,6.781235233160622
12,396193.582956311,20.64,78.3,5.8,5.6,10.04,37.02,6.00974076778084,24.2047767614883,4.07933250116652,-1.1,2.9,12.5,5.177177280550775e-06,232.53012048192767,8.92844578313253
13,398976.348405976,19.56,77.8,5.8,5.5,11.59,31.681,5.6403619777515,24.6799875258246,0.0817074835691645,0.36,3.0,12.1,4.766363636363637e-06,216.295025728988,8.953194682675814
14,438387.741595869,19.8,79.0,5.8,5.5,10.81,41.494,6.23680387811187,23.8455501887973,3.86886964145824,4.16,5.7,12.3,5.0450682593856655e-06,186.00682593856652,13.806880887372014
15,481824.514567671,20.84,80.1,5.8,5.5,10.53,41.368,9.55378851550884,21.6810844158444,3.32346781248848,7.67,10.0,12.4,4.829525423728813e-06,244.1129943502825,12.717471186440678
