,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,ROL,GE,COC,RQ,SSB,PT,EUPC
0,15790.0,26.84,76.05,4.99,3.78,10.1,17.139,-8.79001141495789,15.8991591535824,3.16909422251199,13.51,-3.3,19.4,1.7189328358208954e-05,32.83582089552239,1.12,1.01,0.97,1.32,80.695348559763,84.956549776524,55.09540895522388
1,15030.0,26.13,76.05,5.1,4.0,12.03,18.811,-3.90433868093249,18.436466577074,-2.02540212897082,8.12,-2.0,19.5,1.558268656716418e-05,46.26865671641791,1.16,1.16,0.95,1.39,90.095030731683,85.314565149772,84.79186492537313
2,12850.0,23.28,70.5,4.87,4.22,27.41,23.009,4.96376377299993,20.5332841041619,-2.23951218400766,9.51,-1.8,19.7,1.3111954887218045e-05,57.14285714285714,1.12,1.0,1.0,1.39,90.413782607665,85.595289271705,356.85043609022557
3,13190.0,24.03,67.6,4.55,4.53,32.94,24.575,6.42011954334372,19.5616522470917,-0.609831956361266,13.28,-2.7,15.8,1.670345864661654e-05,63.1578947368421,1.15,1.08,0.99,1.39,90.45025586163,85.471376699707,396.9299383458647
4,14240.0,25.35,71.0,4.39,4.49,22.39,25.515,5.79316261033648,18.2949896179378,0.5262259736181,4.8,-3.3,17.5,1.6793684210526317e-05,46.616541353383454,1.18,1.07,1.05,1.39,90.268246313194,85.244062617706,179.74416691729323
5,14810.0,24.63,73.1,4.46,4.22,20.86,25.586,1.64011297007905,18.0242576821827,-0.123295979074848,7.69,-3.8,17.5,1.6083409090909092e-05,15.15151515151515,1.15,0.95,1.09,1.41,90.355463557106,79.985617590773,499.06244924242424
6,15130.0,24.68,74.1,4.14,4.2,18.7,25.356,2.30658911328679,18.3991728743446,0.273440319119464,4.31,-3.3,18.6,1.7906515151515153e-05,18.939393939393938,1.19,0.97,1.18,1.44,90.522324749583,74.400224991022,514.0840772727273
7,15680.0,24.11,75.0,3.78,4.39,14.98,26.13,3.22552561724243,18.4390132763221,0.975174780192855,6.59,-1.9,21.8,1.7367480916030535e-05,33.587786259541986,1.37,1.01,1.3,1.67,90.627826872101,84.238086719189,287.15043816793894
8,16000.0,23.12,76.7,3.73,4.53,14.34,28.987,3.56176334314333,19.2232645126562,0.119937832223631,-3.07,0.8,21.6,1.5925909090909093e-05,22.727272727272727,1.3,1.04,1.26,1.66,92.748315885112,84.410977080522,79.74430303030303
9,16460.0,23.23,77.0,4.5,4.7,14.13,29.232,3.20749161779062,19.3323940974428,-0.181621859772691,3.77,-0.2,21.7,1.5596818181818182e-05,21.96969696969697,1.19,1.05,1.23,1.69,94.560514476735,88.151982810392,146.14742348484847
10,17390.0,23.18,79.2,5.1,4.7,12.18,29.538,3.9754658216634,18.8749816531166,-0.229888659452604,6.32,2.7,21.0,1.6639924242424243e-05,28.030303030303028,1.25,1.07,1.2,1.63,94.623643398917,89.378009317751,215.2408053030303
11,17990.0,23.29,79.7,4.6,4.7,12.08,29.97,2.31576544968257,18.7628505913655,-0.760255736413209,4.08,4.3,21.9,1.7915757575757576e-05,18.18181818181818,1.2,1.15,1.47,1.54,94.652163909519,89.609848575866,329.7216568181818
12,18580.0,22.31,80.5,4.6,4.7,11.62,31.73,3.68616071129092,19.0819330513563,0.196332805248429,9.77,3.1,21.7,1.162624060150376e-05,23.308270676691727,1.24,1.14,1.53,1.58,94.752131691672,89.609848575866,489.6422082706767
13,17990.0,21.77,79.1,4.6,4.7,18.42,30.069,-1.0835344721109,20.5086892203171,-5.35871536420043,12.01,0.8,20.7,9.122481203007518e-06,15.789473684210526,1.34,1.3,1.58,1.53,94.857377938405,89.909582525243,399.0353052631579
14,19450.0,22.65,79.3,4.6,4.7,16.62,37.342,-1.30229804960796,19.8156868080864,-2.14965297823262,20.31,1.3,20.6,9.718496240601504e-06,18.796992481203006,1.39,1.34,1.51,1.55,91.40160189664893,85.44828726443129,428.6567015037594
15,19190.0,23.34,81.9,4.6,4.7,18.39,38.542,-1.23632085949476,19.2913086684738,-0.69231772911004,4.89,25.3,22.8,1.1124592592592593e-05,30.320987654320984,1.43,1.34,1.54,1.56,91.40160189664893,85.44828726443129,405.0441911111111
