,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,ROL,GE,COC,RQ,SSB,PT,EUPC
0,11540.0,22.75,71.97857142857141,5.39,3.11,10.56,29.615,-20.1080256950857,18.600884165274,0.134662511755947,9.22,-7.7,21.2,4.051954545454546e-06,63.18181818181818,0.72,0.43,0.34,0.95,88.154100067088,81.115239312579,44.68537727272727
1,11270.0,22.84,71.97857142857141,5.59,2.85,13.65,29.811,-13.2990985612257,20.7010687057421,-3.17271093805637,4.2,-13.3,25.9,3.8893119266055045e-06,94.4954128440367,0.78,0.52,0.23,0.97,88.467773462447,83.228625554454,69.40879770642202
2,9620.0,21.52,66.3,5.48,3.19,33.43,34.317,-2.03993109801727,19.5738971708732,-7.96683909476035,-0.58,-19.8,26.4,3.6223831775700935e-06,112.14953271028037,0.79,0.62,0.2,0.92,89.00242786341,83.043920710177,198.58113644859813
3,9470.0,20.86,63.9,5.44,3.11,36.24,30.375,-2.13144285098343,18.7899697736523,-8.37561033971345,2.02,-21.9,20.9,4.228523809523809e-06,84.76190476190476,0.76,0.72,0.2,0.93,89.196552075938,82.613205792193,220.93537857142857
4,9940.0,21.42,66.1,5.17,3.1,31.07,33.478,-6.13127090388476,19.2557040077919,-3.82718548578614,5.72,-14.5,19.0,3.996796116504854e-06,83.98058252427184,0.74,0.69,0.28,0.95,89.163023769785,81.896886676616,248.55786504854368
5,10790.0,21.42,67.9,5.27,3.16,28.56,35.709,-5.54847380579697,17.988056098072,-1.00669407779239,3.99,-10.3,19.2,3.954384236453202e-06,95.07389162561577,0.78,0.83,0.24,1.01,91.495551822961,82.315190787961,351.81079064039415
6,11130.0,20.82,69.5,5.39,3.0,23.24,37.037,-4.5252243865774,18.2811109375838,-0.749487855203313,3.39,-11.1,19.4,3.870348258706468e-06,111.9402985074627,0.76,0.88,0.32,1.04,91.53239862466,84.22988195719,310.27582487562194
7,11470.0,19.62,70.6,5.35,3.09,19.59,38.629,-2.89804899013866,18.4883353835292,-1.35747759867541,3.45,-7.7,21.2,3.8059798994974875e-06,51.75879396984924,0.87,0.95,0.41,1.17,92.332632739749,84.865340520544,358.10937889447234
8,12010.0,19.78,72.5,5.37,3.31,16.32,37.538,-1.18888929085733,18.7095636533339,-1.74045831618358,3.09,-8.7,22.5,3.862626262626262e-06,68.68686868686869,0.77,1.05,0.43,1.07,92.038243296984,86.462455409777,304.48526868686866
9,12430.0,19.17,73.0,5.1,3.2,17.27,37.138,0.52632085966897,18.476344400199,-0.184948478200865,1.24,-9.6,21.8,3.816632653061224e-06,48.46938775510204,0.93,0.97,0.4,1.07,94.107514711983,89.093857316576,79.1296918367347
10,12970.0,19.78,74.6,5.2,3.0,16.97,39.008,-0.434094800932671,18.6703159549355,0.0314177644819213,4.05,-8.1,22.1,3.830979381443299e-06,46.391752577319586,0.9,0.87,0.5,1.14,94.112781067135,90.04053428721,97.75100154639175
11,13630.0,19.35,76.8,5.5,3.5,12.19,40.019,-0.4944581733751,18.5352676047473,-0.633989952845199,1.32,-7.5,23.3,4.200984455958549e-06,44.55958549222798,0.92,1.0,0.3,1.13,94.113948739734,90.04053428721,279.6606025906736
12,13820.0,19.6,77.3,5.7,3.6,12.41,40.929,-0.217945675315532,19.8089011462475,-0.746683777634397,3.37,-6.4,22.9,4.14020942408377e-06,42.93193717277487,0.98,1.07,0.48,1.18,94.116763715984,89.990298391479,381.18241937172775
13,13430.0,20.33,76.9,5.380769230769231,3.170769230769231,14.87,42.132,1.43528647695722,20.8896933172828,-3.93479886970929,2.81,-7.6,21.6,3.830052631578948e-06,48.94736842105264,0.92,0.84,0.69,1.18,94.137988719694,89.188134999936,311.52654210526316
14,14480.0,21.09,75.3,5.380769230769231,3.170769230769231,14.78,42.112,-3.1740615000493,21.7309999551168,-6.94122580878775,9.78,-9.3,23.4,4.005531914893617e-06,55.319148936170215,0.95,0.83,0.72,1.22,91.56940719125372,85.580293285993,300.4080627659574
15,14750.0,20.72,77.0,5.380769230769231,3.170769230769231,15.27,43.786,-4.88832932706458,20.4868935800669,-4.91475061756096,3.2,3.9,22.5,3.684468085106383e-06,75.99290780141845,0.92,0.69,0.69,1.17,91.56940719125372,85.580293285993,307.82954308510637
