,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,ROL,GE,COC,RQ,SSB,PT,EUPC
0,31201.797665092,29.28,67.98571428571428,3.63,2.57,21.39,6.903,-3.80316622247631,18.1666848826749,-1.87266169509765,5.83,-0.3,17.3,8.664771773347325e-06,62.7492130115425,0.41,0.36,0.28,0.77,58.940543867283,51.654725525605,36.74718420776495
1,33846.3819172754,28.82,67.98571428571428,3.69,1.91,17.1,7.686,-5.23713615500082,18.6262756515519,-3.39757861593792,2.72,0.5,16.9,8.512402307894046e-06,65.25045895620246,0.55,0.46,0.45,0.84,59.448350041875,51.550416429655,57.51207046944663
2,36057.3053771817,29.96,62.6,3.74,2.06,20.47,8.676,-0.960495593336648,18.7077470624667,-6.15726161710443,3.18,0.8,17.1,8.161958060288335e-06,75.98951507208388,0.65,0.52,0.44,0.98,61.376662263652,50.682654534006,135.14213690694626
3,37895.4815989593,29.7,62.2,3.65,2.23,23.58,9.281,-2.44143862934832,19.1492387195228,-6.14261436548399,3.94,1.0,17.6,8.658869610935857e-06,84.20084121976866,0.71,0.63,0.51,1.02,78.465629533865,53.32365505807,180.09884797581492
4,41087.7892602721,30.39,62.5,3.65,2.33,25.53,10.337,-2.28730733694175,18.0778612921893,-4.1123831872808,3.57,0.0,17.7,8.59007619548082e-06,101.91802417235942,0.79,0.6,0.56,0.96,78.541562919198,63.90122473278,247.38698751970574
5,42619.7359736043,30.23,62.9,3.81,2.62,26.31,10.955,-0.784100029465394,18.0086571547278,-3.43789644208447,1.53,0.0,17.1,8.400601681555439e-06,115.86967945349447,0.82,0.66,0.66,1.0,78.623297416329,65.669944361901,265.32309182869153
6,43053.6162326819,28.68,63.2,3.91,3.05,27.16,11.452,1.1170690842659,18.3308014321931,-4.02382999301488,0.26,-1.2,17.3,8.28312039957939e-06,111.38275499474238,0.84,0.66,0.65,1.05,79.040430318391,72.179181254574,275.3868213196635
7,44990.9744977439,29.94,64.9,4.02,3.55,23.73,11.605,0.407324353797981,18.2380268801328,-3.36786219034783,3.85,-0.3,17.0,7.96028150486714e-06,103.68324125230203,0.87,0.77,0.68,1.06,82.524811958694,72.292208822099,307.47121565377535
8,47637.1393012849,30.99,66.3,4.07,3.81,20.68,11.881,2.06784617731122,17.9050312672003,-2.53252717229123,3.3,-1.0,17.6,8.04933403527244e-06,123.08502237430902,0.8,0.74,0.69,0.95,82.560571869688,72.258397997894,169.9951297973151
9,49142.8950373487,30.67,68.2,4.3,4.0,17.59,11.396,2.94695491864777,17.8215503011855,-2.65076957705417,3.82,0.2,17.3,8.341532789043983e-06,112.22017382143798,0.59,0.65,0.76,0.91,82.711079712512,79.141239486985,76.26680155385831
10,52583.1507430738,28.81,70.0,4.5,4.1,14.76,11.059,2.81915991097917,17.5668407420539,-1.58580874944162,2.38,0.1,15.0,8.69692125362128e-06,103.34474585198842,0.4,0.55,0.7,0.81,82.752840150967,79.105835731116,173.32032262312353
11,56553.0253655389,28.86,71.4,4.8,4.1,11.68,14.936,2.02268871994476,17.4696531502565,0.0711030565932835,3.35,-0.1,14.8,8.681403739794574e-06,110.79799841980511,0.38,0.55,0.62,0.87,82.780110350102,79.495815659327,287.20516931788256
12,60948.2431077183,28.83,72.6,4.8,4.3,9.83,15.377,3.64475314497549,17.8183081676231,-0.525642748761954,3.15,-0.4,15.4,8.21887542796945e-06,102.37029233605479,0.39,0.51,0.61,1.01,82.848011937395,76.490761458316,282.6688931261522
13,62984.456554085,28.57,72.8,4.043846153846153,3.1253846153846156,10.83,16.102,5.60867980950599,18.8371621590167,-7.0279473310229,3.31,-23.6,14.8,7.912577292110875e-06,106.87633262260127,0.52,0.32,0.62,0.85,82.908585118774,76.831745719469,322.25585895522386
14,71968.7885521538,28.49,75.5,4.043846153846153,3.1253846153846156,11.81,15.604,3.20166912265857,18.523151073936,-2.30300903469373,5.44,-5.0,14.8,8.761825310978907e-06,91.31963223363981,0.43,0.25,0.55,0.83,76.68017767562321,67.46984334084264,373.49147214710655
15,84212.4582403731,29.18,76.7,4.043846153846153,3.1253846153846156,10.55,16.644,1.68369963074641,18.1191286260219,-3.0056919876808,6.01,-3.7,13.7,8.36397609994568e-06,101.01575230852798,0.43,0.26,0.51,0.72,76.68017767562321,67.46984334084264,309.9679217273221
