,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,EUPC
0,8790.0,29.28,67.98571428571428,3.63,2.57,21.39,6.903,-3.80316622247631,18.1666848826749,-1.87266169509765,5.83,-0.3,17.3,8.664771773347325e-06,62.7492130115425,36.74718420776495
1,9180.0,28.82,67.98571428571428,3.69,1.91,17.1,7.686,-5.23713615500082,18.6262756515519,-3.39757861593792,2.72,0.5,16.9,8.512402307894046e-06,65.25045895620246,57.51207046944663
2,9410.0,29.96,62.6,3.74,2.06,20.47,8.676,-0.960495593336648,18.7077470624667,-6.15726161710443,3.18,0.8,17.1,8.161958060288335e-06,75.98951507208388,135.14213690694626
3,9740.0,29.7,62.2,3.65,2.23,23.58,9.281,-2.44143862934832,19.1492387195228,-6.14261436548399,3.94,1.0,17.6,8.658869610935857e-06,84.20084121976866,180.09884797581492
4,10250.0,30.39,62.5,3.65,2.33,25.53,10.337,-2.28730733694175,18.0778612921893,-4.1123831872808,3.57,0.0,17.7,8.59007619548082e-06,101.91802417235942,247.38698751970577
5,10400.0,30.23,62.9,3.81,2.62,26.31,10.955,-0.784100029465394,18.0086571547278,-3.43789644208447,1.53,0.0,17.1,8.400601681555439e-06,115.86967945349448,265.32309182869153
6,10480.0,28.68,63.2,3.91,3.05,27.16,11.452,1.1170690842659,18.3308014321931,-4.02382999301488,0.26,-1.2,17.3,8.28312039957939e-06,111.38275499474238,275.3868213196635
7,10900.0,29.94,64.9,4.02,3.55,23.73,11.605,0.407324353797981,18.2380268801328,-3.36786219034783,3.85,-0.3,17.0,7.96028150486714e-06,103.68324125230204,307.47121565377535
8,11390.0,30.99,66.3,4.07,3.81,20.68,11.881,2.06784617731122,17.9050312672003,-2.53252717229123,3.3,-1.0,17.6,8.04933403527244e-06,123.08502237430902,169.9951297973151
9,11740.0,30.67,68.2,4.3,4.0,17.59,11.396,2.94695491864777,17.8215503011855,-2.65076957705417,3.82,0.2,17.3,8.341532789043983e-06,112.22017382143798,76.26680155385831
10,12340.0,28.81,70.0,4.5,4.1,14.76,11.059,2.81915991097917,17.5668407420539,-1.58580874944162,2.38,0.1,15.0,8.69692125362128e-06,103.34474585198842,173.32032262312353
11,13120.0,28.86,71.4,4.8,4.1,11.68,14.936,2.02268871994476,17.4696531502565,0.0711030565932835,3.35,-0.1,14.8,8.681403739794574e-06,110.79799841980513,287.20516931788256
12,13720.0,28.83,72.6,4.8,4.3,9.83,15.377,3.64475314497549,17.8183081676231,-0.525642748761954,3.15,-0.4,15.4,8.21887542796945e-06,102.3702923360548,282.6688931261522
13,13720.0,28.57,72.8,4.043846153846153,3.1253846153846156,10.83,16.102,5.60867980950599,18.8371621590167,-7.0279473310229,3.31,-23.6,14.8,7.912577292110875e-06,106.87633262260128,322.25585895522386
14,14750.0,28.49,75.5,4.043846153846153,3.1253846153846156,11.81,15.604,3.20166912265857,18.523151073936,-2.30300903469373,5.44,-5.0,14.8,8.761825310978907e-06,91.3196322336398,373.49147214710655
15,15190.0,29.18,76.7,4.043846153846153,3.1253846153846156,10.55,16.644,1.68369963074641,18.1191286260219,-3.0056919876808,6.01,-3.7,13.7,8.36397609994568e-06,101.01575230852798,309.9679217273221
