Country,Code,ContinentCode,Year,Secondary school enrollment percent of all eligible children
Austria,AUT,EU,2000,98.61
Austria,AUT,EU,2001,98.86
Austria,AUT,EU,2002,98.95
Austria,AUT,EU,2003,99.4
Austria,AUT,EU,2004,99.29
Austria,AUT,EU,2005,100.2
Austria,AUT,EU,2006,100.42
Austria,AUT,EU,2007,100.1
Austria,AUT,EU,2008,100.13
Austria,AUT,EU,2009,100.59
Austria,AUT,EU,2010,100.26
Austria,AUT,EU,2011,99.67
Austria,AUT,EU,2012,100.11
Austria,AUT,EU,2013,101.17
Austria,AUT,EU,2014,101.3
Austria,AUT,EU,2015,101.41
Austria,AUT,EU,2016,100.23
Austria,AUT,EU,2017,100.34
Austria,AUT,EU,2018,100.69
Austria,AUT,EU,2019,101.54
Austria,AUT,EU,2020,101.69
Austria,AUT,EU,2021,102.31
Austria,AUT,EU,2022,101.46
Belgium,BEL,EU,2000,146.92
Belgium,BEL,EU,2001,155.95
Belgium,BEL,EU,2002,157.65
Belgium,BEL,EU,2003,158.88
Belgium,BEL,EU,2004,151.64
Belgium,BEL,EU,2005,157.34
Belgium,BEL,EU,2006,158.69
Belgium,BEL,EU,2007,159.44
Belgium,BEL,EU,2008,160.47
Belgium,BEL,EU,2009,159.66
Belgium,BEL,EU,2010,160.66
Belgium,BEL,EU,2011,159.35
Belgium,BEL,EU,2012,160.11
Belgium,BEL,EU,2013,161.85
Belgium,BEL,EU,2014,162.42
Belgium,BEL,EU,2015,164.08
Belgium,BEL,EU,2016,160.69
Belgium,BEL,EU,2017,158.67
Belgium,BEL,EU,2018,156.51
Belgium,BEL,EU,2019,156.64
Belgium,BEL,EU,2020,151.73
Belgium,BEL,EU,2021,143.16
Belgium,BEL,EU,2022,142.92
Bulgaria,BGR,EU,2000,79.88
Bulgaria,BGR,EU,2001,80.94
Bulgaria,BGR,EU,2002,83.98
Bulgaria,BGR,EU,2003,88.12
Bulgaria,BGR,EU,2004,90.53
Bulgaria,BGR,EU,2005,91.37
Bulgaria,BGR,EU,2006,92.41
Bulgaria,BGR,EU,2007,93.15
Bulgaria,BGR,EU,2008,92.38
Bulgaria,BGR,EU,2009,92.52
Bulgaria,BGR,EU,2010,94.18
Bulgaria,BGR,EU,2011,96.44
Bulgaria,BGR,EU,2012,95.39
Bulgaria,BGR,EU,2013,100.79
Bulgaria,BGR,EU,2014,104.94
Bulgaria,BGR,EU,2015,103.89
Bulgaria,BGR,EU,2016,103
Bulgaria,BGR,EU,2017,103.46
Bulgaria,BGR,EU,2018,104.04
Bulgaria,BGR,EU,2019,102.66
Bulgaria,BGR,EU,2020,101.35
Bulgaria,BGR,EU,2021,98.71
Bulgaria,BGR,EU,2022,96.67
Croatia,HRV,EU,2001,94.78
Croatia,HRV,EU,2002,95.02
Croatia,HRV,EU,2003,95.5
Croatia,HRV,EU,2005,99.08
Croatia,HRV,EU,2006,99.03
Croatia,HRV,EU,2007,99.01
Croatia,HRV,EU,2008,99
Croatia,HRV,EU,2009,98.94
Croatia,HRV,EU,2010,98.9
Croatia,HRV,EU,2011,99.27
Croatia,HRV,EU,2012,99.35
Croatia,HRV,EU,2013,101.8
Croatia,HRV,EU,2014,102.53
Croatia,HRV,EU,2015,102.98
Croatia,HRV,EU,2016,103.72
Croatia,HRV,EU,2017,104.21
Croatia,HRV,EU,2018,104.96
Croatia,HRV,EU,2019,105.14
Croatia,HRV,EU,2020,105.59
Croatia,HRV,EU,2021,105.88
Croatia,HRV,EU,2022,105.58
Cyprus,CYP,EU,2000,93.37
Cyprus,CYP,EU,2001,93.45
Cyprus,CYP,EU,2002,96.92
Cyprus,CYP,EU,2003,97.56
Cyprus,CYP,EU,2004,96.29
Cyprus,CYP,EU,2005,94.01
Cyprus,CYP,EU,2006,93.14
Cyprus,CYP,EU,2007,92.91
Cyprus,CYP,EU,2008,92.37
Cyprus,CYP,EU,2009,91.93
Cyprus,CYP,EU,2010,91.44
Cyprus,CYP,EU,2011,92.83
Cyprus,CYP,EU,2012,95.3
Cyprus,CYP,EU,2013,98.31
Cyprus,CYP,EU,2014,99.42
Cyprus,CYP,EU,2015,99.78
Cyprus,CYP,EU,2016,99.12
Cyprus,CYP,EU,2017,100.33
Cyprus,CYP,EU,2018,100.25
Cyprus,CYP,EU,2019,100.85
Cyprus,CYP,EU,2020,101.43
Cyprus,CYP,EU,2021,102.5
Cyprus,CYP,EU,2022,104.01
Czechia,CZE,EU,2000,89.4
Czechia,CZE,EU,2001,94.59
Czechia,CZE,EU,2002,95.29
Czechia,CZE,EU,2003,96.05
Czechia,CZE,EU,2004,95.47
Czechia,CZE,EU,2005,96.05
Czechia,CZE,EU,2006,97.46
Czechia,CZE,EU,2007,97.72
Czechia,CZE,EU,2008,98.08
Czechia,CZE,EU,2009,97.91
Czechia,CZE,EU,2010,98.65
Czechia,CZE,EU,2011,99.45
Czechia,CZE,EU,2012,99.77
Czechia,CZE,EU,2013,106.88
Czechia,CZE,EU,2014,106.12
Czechia,CZE,EU,2015,104.81
Czechia,CZE,EU,2016,103.02
Czechia,CZE,EU,2017,102.2
Czechia,CZE,EU,2018,101.51
Czechia,CZE,EU,2019,100.22
Czechia,CZE,EU,2020,99.33
Czechia,CZE,EU,2021,102.09
Czechia,CZE,EU,2022,102.94
Denmark,DNK,EU,2000,126.85
Denmark,DNK,EU,2001,129.88
Denmark,DNK,EU,2002,125.11
Denmark,DNK,EU,2003,124.62
Denmark,DNK,EU,2004,121.35
Denmark,DNK,EU,2005,122.08
Denmark,DNK,EU,2006,118.17
Denmark,DNK,EU,2007,117.99
Denmark,DNK,EU,2008,117.27
Denmark,DNK,EU,2009,117.13
Denmark,DNK,EU,2010,118.94
Denmark,DNK,EU,2011,121.82
Denmark,DNK,EU,2012,124.58
Denmark,DNK,EU,2013,131.69
Denmark,DNK,EU,2014,132.45
Denmark,DNK,EU,2015,133.8
Denmark,DNK,EU,2016,131.44
Denmark,DNK,EU,2017,130.32
Denmark,DNK,EU,2018,129.85
Denmark,DNK,EU,2019,129.31
Denmark,DNK,EU,2020,130
Denmark,DNK,EU,2021,131.77
Denmark,DNK,EU,2022,130.33
Estonia,EST,EU,2000,95.02
Estonia,EST,EU,2001,96.22
Estonia,EST,EU,2002,99.08
Estonia,EST,EU,2003,99.08
Estonia,EST,EU,2004,101.45
Estonia,EST,EU,2005,104.22
Estonia,EST,EU,2006,104.03
Estonia,EST,EU,2007,105.09
Estonia,EST,EU,2008,105.4
Estonia,EST,EU,2009,107.43
Estonia,EST,EU,2010,110.89
Estonia,EST,EU,2011,112.29
Estonia,EST,EU,2012,112.54
Estonia,EST,EU,2013,110.52
Estonia,EST,EU,2014,107.69
Estonia,EST,EU,2015,108.19
Estonia,EST,EU,2016,111.6
Estonia,EST,EU,2017,113.25
Estonia,EST,EU,2018,112.76
Estonia,EST,EU,2019,112.29
Estonia,EST,EU,2020,112.53
Estonia,EST,EU,2021,113.01
Estonia,EST,EU,2022,112.55
Finland,FIN,EU,2000,125.49
Finland,FIN,EU,2001,128.17
Finland,FIN,EU,2002,129.49
Finland,FIN,EU,2003,132.24
Finland,FIN,EU,2004,110.78
Finland,FIN,EU,2005,111.33
Finland,FIN,EU,2006,110.28
Finland,FIN,EU,2007,109.04
Finland,FIN,EU,2008,108.3
Finland,FIN,EU,2009,107.7
Finland,FIN,EU,2010,108.61
Finland,FIN,EU,2011,109.25
Finland,FIN,EU,2012,109.96
Finland,FIN,EU,2013,145.65
Finland,FIN,EU,2014,147.41
Finland,FIN,EU,2015,150.82
