"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.56514382402707","-2.06477732793522","-3.7199124726477","-3.99194901039919","-4.70168612191959","3.69914238343452","1.60245892222427","-4.10214426061452","-7.33186479218138","-3.09981276697801","-8.89968376806249","-11.854321428321","-9.84978441378199","-8.05155969309576","-11.7194489957977","-15.0282824966376","-14.9357613504094","-10.4381055976184","-8.79465705588805","-6.33106474650498","-0.127837598734747","1.40110663251139","1.2930841370021","-0.708004440374661","1.12561034995591","-18.1520584838923","-5.53548984579566","2.25638904919453","6.88928994275379","",
"Africa Eastern and Southern","AFE","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.607910909945762","-1.07059837462113","0.351345116944689","1.42663454277846","-0.40537645708736","-1.5820696952515","-0.989511280980199","-1.52185625412937","-2.35496076571447","-0.906535866671515","-0.260427956465769","0.687212855164734","0.144516406876399","-0.621975940107678","-1.16106858435018","-0.393497586233167","0.194059149016645","0.273377829807167","-0.389732379350214","-4.26214234866339","-0.382253870849514","-0.69648672188228","-3.20942451104817","-4.9791397727037","-4.46772587103021","-6.84027455749275","-5.17992593674074","-3.69986982374669","-3.21445058011123","-2.81489463515693","-2.21454498747345","-0.459321530482526","-2.54995347945309","-3.84650751107183","-3.4116482111321",
"Afghanistan","AFG","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-25.8682602741689","-22.727410779653","-36.1253848053787","-33.8790889104381","",
"Africa Western and Central","AFW","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8682492091045","4.74144807139525","13.1807695884926","24.461573409733","32.3105676757973","27.7514988509558","23.5853491452283","-4.9315435437783","18.96259646146","21.3573886990329","20.0801639270508","14.6822388231182","10.057136139081","-3.37932018765773","2.8788128268024","5.75138177825455","15.2945663336239","23.751971988263","10.6870525521288","21.0260533480139","19.0922136896147","14.6631392001604","13.4695668468603",
"Albania","ALB","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","0.420891317151782","1.52054703574025","-4.66472579620985","-2.70651732195469","-2.03502016822331","-2.2940788329814","-0.424944616985555","-0.0997202393074286","-2.93908246795073","-2.87937954098593","-8.62683574443122","-21.1008826139267","-83.7862892546581","-48.5606731436399","-29.1351960402252","-15.5993965004299","-21.4214919696865","-24.6476795921946","-24.6760190508985","-16.9485515320372","-22.5483192476385","-23.0203130206671","-25.6490931670533","-24.4954543387854","-21.9344338743268","-24.2307289807787","-23.1847250835661","-25.6502610671863","-26.0832234391655","-24.032108642673","-20.3126736285285","-22.5900509253687","-18.7468164445193","-18.011814546681","-18.8845153333134","-17.1408027365375","-16.6748641063599","-14.7837902121824","-13.4660512873524","-13.5098839609922","-14.4391853477999","-13.3242770580157","-10.303893464413","-5.16352089132669","-6.85163537494282",
"Andorra","AND","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.18418361180478","7.57011271031935","9.98690478181263","12.3346082209883","16.99829555254","18.6759845661232","14.2919816560924","16.4839729762631","4.45966769579483","11.8904108829106","17.5977032881586","18.3643521315547","15.3700245826419","10.3206333102093","-0.124417962837022","-0.473448277493659","3.0463696262241","8.12265787547626","5.07764349599051","-0.969169164948411","5.8586148939664","11.9112799488697","7.42931817157669","",
"United Arab Emirates","ARE","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45387072628172","5.93503595338458","9.54622893956581","10.5128471038986","15.6177511375138","17.7849257652414","7.97004213484629","9.22223337735726","5.84469136599967","19.893250007799","27.6845428744707","35.2994561354659","34.9146897197468","30.8175562967387","24.1793745666787","24.349413004114","24.7878051825731","27.7911847498972","23.651081036796","15.1797654515471","18.6972356170228","18.6790429215189","14.8892067888043","",
"Argentina","ARG","External balance on goods and services (% of GDP)","NE.RSB.GNFS.ZS","2.12913319746322E-06","1.67858472267841E-06","-4.69184013156704","2.16987435263046E-06","1.53002140132025E-06","2.07529146538738","1.66322935005796","2.49853207958065","1.08074204025606","0","0.865689271084736","-0.600723152966151","0.359888480895527","1.90316693082669","0.613561737587651","-0.154620697463696","3.25389196855162","2.28949825749172","2.89298350379267","0.181146292378018","-1.421727098454","-0.450878518263459","2.56950005720169","3.31537126678235","2.83340919435594","5.46277097078228","1.83792229645136","0.297441743848656","3.31976733716303","6.47902011524435","5.72821418510863","1.59703253775518","-1.53460564227824","-2.40444838036731","-3.0744484151647","-0.410602571195211","-0.649274893693637","-2.21447863989155","-2.51886405088506","-1.72839593260512","-0.649694312619028","1.30576071351812","15.0124696397722","11.2171378217363","7.00259273903135","5.94048249709131","5.61990933570791","4.38033000444218","3.71912738621024","5.06484320667575","2.8966335471722","1.69226329066661","1.94917655233833","-0.0995822252265794","0.404163533523684","-1.07492198807163","-1.03969751087799","-2.64903441833118","-1.88916445518585","3.21914170984251","3.00713006708088","3.05472877060698","0.948320882698854","-1.14202056813496","2.50906604305706",
