"Country","NUTS1_ID","NUTS2 code+name","NUTS2_ID","NUTS2_name","Fund","Year","Programming_Period","EU_Payment_annual","Modelled_annual_expenditure","Standard_Deviation_of_annual_expenditure","Standard_Error_of_modelled_annual_expenditure"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2007","2007-2013","1,017,013","1,747,638","64,295","2,033"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2008","2007-2013","1,525,519","1,403,749","10,715","338"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2009","2007-2013","1,271,266","2,587,224","555,796","17,575"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2010","2007-2013","3,453,592","3,741,652","990,754","31,330"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2011","2007-2013","2,385,830","5,872,090","796,818","25,197"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2012","2007-2013","8,297,210","8,979,739","514,255","16,262"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2013","2007-2013","8,624,592","8,888,822","446,060","14,105"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2014","2007-2013","8,448,906","9,382,990","1,362,777","43,094"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2015","2007-2013","12,368,627","8,246,755","667,044","21,093"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2016","2007-2013","915,571","0","0","0"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ERDF","2017","2007-2013","2,542,533","0","0","0"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2007","2007-2013","3,271,562","4,337,556","234,302","7,409"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2008","2007-2013","4,907,343","9,489,344","1,007,112","31,847"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2009","2007-2013","26,000,763","25,423,956","126,780","4,009"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2010","2007-2013","23,345,411","20,255,847","679,078","21,474"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2011","2007-2013","9,122,483","12,095,995","653,570","20,667"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2012","2007-2013","22,811,166","29,099,637","1,382,190","43,708"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2013","2007-2013","51,760,391","43,044,347","1,915,765","60,581"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2014","2007-2013","11,635,734","10,954,713","149,686","4,733"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2015","2007-2013","0","6,654,085","405,865","12,834"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2017","2007-2013","4,284,410","0","0","0"
"DE","DE1","DE11 Stuttgart","DE11","Stuttgart","ESF","2020","2007-2013","4,216,216","0","0","0"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2007","2007-2013","655,190","1,125,880","41,421","1,309"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2008","2007-2013","982,785","904,337","6,903","218"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2009","2007-2013","818,988","1,666,767","358,060","11,322"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2010","2007-2013","2,224,907","2,410,484","638,273","20,183"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2011","2007-2013","1,537,023","3,782,976","513,334","16,233"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2012","2007-2013","5,345,311","5,785,016","331,298","10,476"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2013","2007-2013","5,556,220","5,726,445","287,365","9,087"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2014","2007-2013","5,443,038","6,044,803","877,941","27,762"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2015","2007-2013","7,968,240","5,312,806","429,729","13,589"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2016","2007-2013","589,838","0","0","0"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ERDF","2017","2007-2013","1,637,976","0","0","0"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2007","2007-2013","2,780,013","3,680,976","199,445","6,307"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2008","2007-2013","4,170,019","8,070,626","863,473","27,305"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2009","2007-2013","22,223,591","21,716,566","112,239","3,549"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2010","2007-2013","19,876,875","17,232,648","585,349","18,510"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2011","2007-2013","7,638,335","10,186,358","564,053","17,836"
