Country,Code,ContinentCode,Year,Oil consumption thousand barrels per day,Industry value added billion USD,Happiness Index 0 (unhappy) - 10 (happy)
Austria,AUT,EU,2000,250,56.13,
Austria,AUT,EU,2001,267,55.88,
Austria,AUT,EU,2002,273,58.89,
Austria,AUT,EU,2003,289,72.23,
Austria,AUT,EU,2004,295,82.63,
Austria,AUT,EU,2005,299,86.08,
Austria,AUT,EU,2006,299,92.13,
Austria,AUT,EU,2007,293,107.39,
Austria,AUT,EU,2008,284,117.66,
Austria,AUT,EU,2009,269,104.92,
Austria,AUT,EU,2010,278,101.51,
Austria,AUT,EU,2011,264,110.92,
Austria,AUT,EU,2012,261,105.8,
Austria,AUT,EU,2013,264,110.78,7.37
Austria,AUT,EU,2014,261,113.08,
Austria,AUT,EU,2015,,96.84,7.2
Austria,AUT,EU,2016,,102.01,7.12
Austria,AUT,EU,2017,,107.06,7.01
Austria,AUT,EU,2018,,116.4,7.14
Austria,AUT,EU,2019,,113.12,7.25
Austria,AUT,EU,2020,,111.44,7.27
Austria,AUT,EU,2021,,123.61,7.16
Austria,AUT,EU,2022,,118.91,7.1
Austria,AUT,EU,2023,,129.17,7
Austria,AUT,EU,2024,,120.27,6.91
Belgium,BEL,EU,2000,606,59.07,
Belgium,BEL,EU,2001,609,57.56,
Belgium,BEL,EU,2002,617,61.46,
Belgium,BEL,EU,2003,655,73.88,
Belgium,BEL,EU,2004,657,84.77,
Belgium,BEL,EU,2005,660,87.07,
Belgium,BEL,EU,2006,638,90.39,
Belgium,BEL,EU,2007,640,104.93,
Belgium,BEL,EU,2008,717,111.72,
Belgium,BEL,EU,2009,643,99.37,
Belgium,BEL,EU,2010,664,99.49,
Belgium,BEL,EU,2011,625,109.4,
Belgium,BEL,EU,2012,603,99.66,
Belgium,BEL,EU,2013,623,104.37,6.97
Belgium,BEL,EU,2014,619,105.55,
Belgium,BEL,EU,2015,,89.8,6.94
Belgium,BEL,EU,2016,,90.58,6.93
Belgium,BEL,EU,2017,,95.95,6.89
Belgium,BEL,EU,2018,,102.91,6.93
Belgium,BEL,EU,2019,,103.28,6.92
Belgium,BEL,EU,2020,,101.07,6.83
Belgium,BEL,EU,2021,,107.71,6.8
Belgium,BEL,EU,2022,,115.84,6.86
Belgium,BEL,EU,2023,,119.51,6.86
Belgium,BEL,EU,2024,,116.83,6.89
Bulgaria,BGR,EU,2000,100,3,
Bulgaria,BGR,EU,2001,101,3.4,
Bulgaria,BGR,EU,2002,106,3.94,
Bulgaria,BGR,EU,2003,102,5.14,
Bulgaria,BGR,EU,2004,104,6.05,
Bulgaria,BGR,EU,2005,114,7.24,
Bulgaria,BGR,EU,2006,116,8.72,
Bulgaria,BGR,EU,2007,114,11.67,
Bulgaria,BGR,EU,2008,105,13.62,
Bulgaria,BGR,EU,2009,102,13.82,
Bulgaria,BGR,EU,2010,90,12.04,
Bulgaria,BGR,EU,2011,84,14.44,
Bulgaria,BGR,EU,2012,87,13.78,
Bulgaria,BGR,EU,2013,81,13.12,3.98
Bulgaria,BGR,EU,2014,84,13.38,
Bulgaria,BGR,EU,2015,,12.2,4.22
Bulgaria,BGR,EU,2016,,13.19,4.22
Bulgaria,BGR,EU,2017,,14.19,4.71
Bulgaria,BGR,EU,2018,,14.7,4.93
Bulgaria,BGR,EU,2019,,14.77,5.01
Bulgaria,BGR,EU,2020,,15.4,5.27
Bulgaria,BGR,EU,2021,,17.51,5.37
Bulgaria,BGR,EU,2022,,22.9,5.47
Bulgaria,BGR,EU,2023,,23.2,5.38
Bulgaria,BGR,EU,2024,,25.23,5.46
Croatia,HRV,EU,2000,86,5.36,
Croatia,HRV,EU,2001,86,5.49,
Croatia,HRV,EU,2002,89,6.13,
Croatia,HRV,EU,2003,91,8.23,
Croatia,HRV,EU,2004,95,10.1,
Croatia,HRV,EU,2005,96,10.7,
Croatia,HRV,EU,2006,103,11.61,
Croatia,HRV,EU,2007,98,13.6,
Croatia,HRV,EU,2008,95,15.58,
Croatia,HRV,EU,2009,90,14.14,
Croatia,HRV,EU,2010,80,12.6,
Croatia,HRV,EU,2011,79,13.52,
Croatia,HRV,EU,2012,73,12.11,
Croatia,HRV,EU,2013,69,12.27,5.66
Croatia,HRV,EU,2014,70,12.31,
Croatia,HRV,EU,2015,,10.39,5.76
Croatia,HRV,EU,2016,,10.68,5.49
Croatia,HRV,EU,2017,,11.11,5.29
Croatia,HRV,EU,2018,,11.9,5.32
Croatia,HRV,EU,2019,,12.03,5.43
Croatia,HRV,EU,2020,,11.65,5.88
Croatia,HRV,EU,2021,,13.51,6.13
Croatia,HRV,EU,2022,,14.29,6.13
Croatia,HRV,EU,2023,,17.73,5.58
Croatia,HRV,EU,2024,,18.36,5.94
Cyprus,CYP,EU,2000,47,1.77,
